#Sector	Layer	Component	tdc_TShift	tdc_c	fadc_TShift	fadc_c

1	1	1	-0.150000	13.333333	-3.000000	14.077253
1	1	2	1.600000	13.609959	-1.400000	13.957447
1	1	3	-2.450000	13.666667	-4.500000	14.077253
2	1	1	-0.950000	13.466667	0.850000	14.428571
2	1	2	-1.700000	13.694915	0.250000	14.532374
2	1	3	-1.200000	12.825397	0.500000	14.275618
2	1	4	4.850000	13.648649	-1.700000	14.175439
2	1	5	4.750000	13.289474	-1.600000	14.175439
2	1	6	4.800000	13.694915	-1.800000	14.275618
2	1	7	3.300000	13.694915	1.250000	14.326241
3	1	1	2.800000	13.600000	-0.050000	12.439024
3	1	2	2.750000	13.421053	0.700000	12.289157
3	1	3	-0.200000	13.600000	-3.550000	12.439024
3	1	4	-1.250000	13.421053	0.600000	12.592593
3	1	5	-1.300000	13.246753	0.500000	12.289157
3	1	6	1.800000	13.600000	1.700000	12.289157
4	1	1	9.550000	12.750000	7.750000	12.439024
4	1	2	1.800000	13.600000	-0.400000	12.592593
4	1	3	-2.250000	13.421053	-2.550000	12.439024
4	1	4	-0.750000	13.421053	-2.150000	11.860465
4	1	5	0.700000	13.246753	-0.900000	12.592593
4	1	6	-1.950000	12.750000	-0.050000	12.439024
5	1	1	-0.950000	13.466667	-0.400000	14.175439
5	1	2	3.050000	13.466667	3.350000	14.225352
1	2	1	0.300000	13.957447	-2.150000	14.017094
1	2	2	-1.450000	13.666667	-3.900000	13.957447
1	2	3	0.500000	13.609959	-2.950000	14.017094
2	2	1	-0.700000	13.694915	0.600000	14.377224
2	2	2	-1.200000	13.694915	0.500000	14.275618
2	2	3	0.550000	13.466667	1.700000	14.275618
2	2	4	3.800000	13.694915	-2.600000	14.175439
2	2	5	4.800000	13.694915	-1.500000	14.275618
2	2	6	5.100000	13.788396	-1.650000	14.225352
2	2	7	2.300000	13.694915	0.100000	14.377224
3	2	1	5.050000	12.750000	0.850000	11.860465
3	2	2	4.050000	12.750000	1.650000	12.750000
3	2	3	-4.200000	13.600000	-7.650000	12.750000
3	2	4	-2.200000	13.600000	-0.550000	12.439024
3	2	5	-0.650000	13.421053	1.100000	12.592593
3	2	6	1.200000	13.246753	0.700000	12.289157
4	2	1	2.650000	13.076923	0.500000	12.289157
4	2	2	0.550000	12.750000	-1.500000	12.289157
4	2	3	0.050000	12.750000	0.000000	12.289157
4	2	4	2.300000	13.600000	1.250000	12.439024
4	2	5	-3.700000	13.600000	-5.550000	13.076923
4	2	6	-1.200000	13.600000	0.750000	12.439024
5	2	1	0.550000	13.466667	0.950000	14.326241
5	2	2	0.800000	13.694915	2.600000	14.175439
1	3	1	1.050000	13.666667	-2.100000	13.957447
1	3	2	-1.450000	13.666667	-3.900000	13.957447
1	3	3	-0.450000	13.666667	-3.150000	13.898305
2	3	1	-1.450000	13.466667	0.350000	14.428571
2	3	2	-1.950000	13.931034	0.450000	14.532374
2	3	3	-0.200000	13.694915	1.350000	14.225352
2	3	4	5.200000	13.788396	-1.400000	14.175439
2	3	5	4.800000	13.694915	-1.600000	14.175439
2	3	6	4.550000	13.466667	-2.000000	14.275618
2	3	7	3.400000	13.602694	1.100000	14.175439
3	3	1	2.550000	12.750000	-0.650000	12.142857
3	3	2	2.550000	12.750000	0.500000	12.289157
3	3	3	5.800000	13.600000	2.700000	12.289157
3	3	4	-3.200000	13.600000	-2.050000	12.439024
3	3	5	-3.550000	13.076923	-1.000000	12.289157
3	3	6	-0.450000	12.750000	-1.250000	12.439024
4	3	1	2.550000	12.750000	1.000000	12.289157
4	3	2	-1.350000	13.076923	-4.150000	12.142857
4	3	3	2.300000	13.600000	1.950000	13.076923
4	3	4	2.700000	13.246753	1.700000	12.289157
4	3	5	2.400000	13.246753	0.600000	12.592593
4	3	6	1.300000	13.600000	3.100000	12.000000
5	3	1	0.000000	Infinity	0.000000	Infinity
5	3	2	0.550000	13.931034	2.500000	14.275618
1	4	1	0.050000	13.666667	-3.200000	13.957447
1	4	2	0.050000	13.666667	-2.700000	13.957447
1	4	3	0.550000	13.666667	-1.800000	13.839662
2	4	1	-1.700000	13.245902	0.350000	14.428571
2	4	2	-1.950000	13.931034	0.050000	14.428571
2	4	3	-1.700000	13.694915	-0.250000	14.326241
2	4	4	5.150000	13.835616	-1.250000	14.326241
2	4	5	4.300000	13.694915	-2.600000	14.175439
2	4	6	5.200000	13.788396	-1.550000	14.326241
2	4	7	4.050000	13.931034	2.000000	14.275618
3	4	1	1.800000	13.600000	-0.400000	12.592593
3	4	2	1.300000	13.600000	-1.450000	12.750000
3	4	3	1.400000	13.246753	-1.050000	12.439024
3	4	4	1.800000	13.600000	3.450000	12.439024
3	4	5	-1.100000	13.246753	0.250000	12.439024
3	4	6	0.550000	12.750000	0.500000	12.289157
4	4	1	1.300000	13.600000	-1.150000	12.142857
4	4	2	2.550000	12.750000	0.250000	12.439024
4	4	3	-0.950000	12.750000	-1.300000	12.289157
4	4	4	-1.700000	13.600000	-2.900000	12.000000
4	4	5	1.300000	13.600000	0.750000	12.439024
4	4	6	-3.200000	13.600000	-1.150000	12.750000
5	4	1	-1.200000	13.694915	-0.400000	14.377224
5	4	2	0.300000	13.694915	2.150000	14.428571
1	5	1	0.550000	13.666667	-2.250000	14.137931
1	5	2	-0.450000	13.666667	-3.200000	13.957447
1	5	3	0.550000	13.666667	-2.250000	14.137931
2	5	1	0.550000	13.931034	2.300000	14.175439
2	5	2	-1.950000	13.931034	0.100000	14.480287
2	5	3	-1.450000	13.931034	0.500000	14.275618
2	5	4	4.050000	13.931034	-2.150000	14.225352
2	5	5	5.050000	13.931034	-1.900000	14.175439
2	5	6	5.150000	13.835616	-1.900000	14.175439
2	5	7	4.050000	13.931034	1.600000	14.377224
