#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	-1.000000	-1.000000
1	1	1	1	-1.000000	-1.000000
1	1	2	0	-1.000000	-1.000000
1	1	2	1	-1.000000	-1.000000
1	1	3	0	-1.000000	-1.000000
1	1	3	1	-1.000000	-1.000000
2	1	1	0	-1.000000	-1.000000
2	1	1	1	-1.000000	-1.000000
2	1	2	0	-1.000000	-1.000000
2	1	2	1	-1.000000	-1.000000
2	1	3	0	-1.000000	-1.000000
2	1	3	1	-1.000000	-1.000000
2	1	4	0	-1.000000	-1.000000
2	1	4	1	-1.000000	-1.000000
2	1	5	0	-1.000000	-1.000000
2	1	5	1	-1.000000	-1.000000
2	1	6	0	-1.000000	-1.000000
2	1	6	1	-1.000000	-1.000000
2	1	7	0	-1.000000	-1.000000
2	1	7	1	-1.000000	-1.000000
3	1	1	0	-1.000000	-1.000000
3	1	1	1	-1.000000	-1.000000
3	1	2	0	-1.000000	-1.000000
3	1	2	1	-1.000000	-1.000000
3	1	3	0	-1.000000	-1.000000
3	1	3	1	-1.000000	-1.000000
3	1	4	0	-1.000000	-1.000000
3	1	4	1	-1.000000	-1.000000
3	1	5	0	-1.000000	-1.000000
3	1	5	1	-1.000000	-1.000000
3	1	6	0	-1.000000	-1.000000
3	1	6	1	-1.000000	-1.000000
4	1	1	0	-1.000000	-1.000000
4	1	1	1	-1.000000	-1.000000
4	1	2	0	-1.000000	-1.000000
4	1	2	1	-1.000000	-1.000000
4	1	3	0	-1.000000	-1.000000
4	1	3	1	-1.000000	-1.000000
4	1	4	0	-1.000000	-1.000000
4	1	4	1	-1.000000	-1.000000
4	1	5	0	-1.000000	-1.000000
4	1	5	1	-1.000000	-1.000000
4	1	6	0	-1.000000	-1.000000
4	1	6	1	-1.000000	-1.000000
5	1	1	0	-1.000000	-1.000000
5	1	1	1	-1.000000	-1.000000
5	1	2	0	-1.000000	-1.000000
5	1	2	1	-1.000000	-1.000000
1	2	1	0	-1.000000	-1.000000
1	2	1	1	-1.000000	-1.000000
1	2	2	0	-1.000000	-1.000000
1	2	2	1	-1.000000	-1.000000
1	2	3	0	-1.000000	-1.000000
