#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	18168.404028	1565.073432
1	1	1	1	18322.073242	1529.898340
1	1	2	0	18931.133090	1688.290445
1	1	2	1	18498.621238	1690.921931
1	1	3	0	-1.000000	-1.000000
1	1	3	1	18058.825460	1567.964968
2	1	1	0	18151.758100	1683.956689
2	1	1	1	18367.170253	1660.178592
2	1	2	0	19243.606753	5758.411915
2	1	2	1	19066.038194	5515.759640
2	1	3	0	17798.108664	1652.679612
2	1	3	1	18330.274689	1563.585064
2	1	4	0	18181.576147	1682.168516
2	1	4	1	18214.188273	1654.814501
2	1	5	0	-1.000000	-1.000000
2	1	5	1	-1.000000	-1.000000
2	1	6	0	18167.500818	1685.769124
2	1	6	1	18128.667545	1740.882477
2	1	7	0	18423.624053	1671.741642
2	1	7	1	19040.866277	1586.301181
3	1	1	0	24418.737995	1301.199121
3	1	1	1	23647.040588	1292.836506
3	1	2	0	24574.188383	4735.184293
3	1	2	1	24169.586496	4582.974555
3	1	3	0	24797.000162	4968.666188
3	1	3	1	25481.227821	5050.627633
3	1	4	0	23461.083761	1279.596874
3	1	4	1	25178.487783	4934.632000
3	1	5	0	20189.898497	5141.710351
3	1	5	1	19896.361388	5078.606847
3	1	6	0	23014.723185	1334.950209
3	1	6	1	23216.038626	1433.136370
4	1	1	0	26500.042230	4687.658798
4	1	1	1	24065.042230	4687.658798
4	1	2	0	24734.337671	4657.074094
4	1	2	1	23188.305357	1346.074596
4	1	3	0	23356.038651	1348.745199
4	1	3	1	25534.344721	4842.498833
4	1	4	0	20840.231243	4945.989996
4	1	4	1	20840.231243	4945.989996
4	1	5	0	20145.902126	4957.706392
4	1	5	1	20094.733132	4898.328932
4	1	6	0	25675.367599	5282.224491
4	1	6	1	16140.435278	1700.770619
5	1	1	0	19993.496548	5626.715099
5	1	1	1	18392.785593	1649.714689
5	1	2	0	20715.160691	5865.614759
5	1	2	1	20715.160691	5865.614759
1	2	1	0	19353.649678	1537.659715
1	2	1	1	19054.243079	1518.375249
1	2	2	0	18718.865639	1703.837893
1	2	2	1	19252.856100	1597.986662
1	2	3	0	19418.039743	1555.276723
1	2	3	1	19308.353736	1618.823230
2	2	1	0	18344.860453	1543.417930
2	2	1	1	18154.601228	1661.780683
2	2	2	0	19401.328143	5901.639431
2	2	2	1	19176.972929	5720.121658
2	2	3	0	19668.338496	5490.582105
2	2	3	1	19981.588230	5622.667848
2	2	4	0	18905.588394	1696.988317
2	2	4	1	18778.510682	1675.289808
2	2	5	0	18158.854386	1705.094143
2	2	5	1	18354.801449	1639.136055
2	2	6	0	18594.364131	1702.627528
2	2	6	1	18775.585682	1737.873237
2	2	7	0	18687.804355	1685.243097
2	2	7	1	18556.395157	1618.873164
3	2	1	0	20580.581071	4686.051345
3	2	1	1	21188.074763	4721.889987
3	2	2	0	24786.916808	4902.206356
3	2	2	1	25540.498837	4852.773286
3	2	3	0	21737.652908	4935.945036
3	2	3	1	23730.693382	4964.271314
3	2	4	0	21208.650755	4888.244858
3	2	4	1	21270.701382	4958.756101
3	2	5	0	24186.871555	5370.111615
3	2	5	1	21844.089657	1399.274533
3	2	6	0	23987.679700	5229.363853
3	2	6	1	22897.156008	1358.377724
4	2	1	0	21494.213191	4397.963256
4	2	1	1	19304.749197	1285.286172
4	2	2	0	23981.810445	4610.143936
4	2	2	1	23874.573581	4711.275448
4	2	3	0	19520.018614	1349.314556
4	2	3	1	20567.030736	4882.152276
4	2	4	0	22655.569985	1273.976882
4	2	4	1	23761.579586	4679.127483
4	2	5	0	23197.269206	5263.136964
4	2	5	1	22148.239226	5200.177939
4	2	6	0	23529.367332	5321.988995
4	2	6	1	23670.359619	5161.762868
5	2	1	0	19506.713196	5912.329436
5	2	1	1	19909.381261	5647.302394
5	2	2	0	19816.158554	5278.093282
5	2	2	1	20234.021164	5815.581029
1	3	1	0	19232.372807	1638.197258
1	3	1	1	19099.097154	1594.972536
1	3	2	0	19146.475570	1643.053829
1	3	2	1	19181.859300	1627.427586
1	3	3	0	19137.466323	1599.897418
1	3	3	1	19230.348829	1502.625753
2	3	1	0	18351.790937	1565.272722
2	3	1	1	18366.805185	1490.948165
2	3	2	0	19870.114048	5872.115307
2	3	2	1	19333.219022	5686.621800
2	3	3	0	18696.070534	1568.121406
2	3	3	1	18852.444657	1468.718446
2	3	4	0	19914.636638	5592.320941
2	3	4	1	19040.759271	1618.947320
2	3	5	0	18862.864674	1687.189588
2	3	5	1	18472.403784	1702.109014
2	3	6	0	18705.024665	1609.608084
2	3	6	1	19790.266623	5571.688557
2	3	7	0	18494.922236	1543.315104
2	3	7	1	20017.815573	5467.193909
3	3	1	0	21872.732552	1372.886120
3	3	1	1	23543.403283	4582.291361
3	3	2	0	23055.983083	4771.858106
3	3	2	1	22873.185855	1412.889623
3	3	3	0	23542.229630	5120.050059
3	3	3	1	22440.622657	5089.916399
3	3	4	0	23561.697610	5392.233107
3	3	4	1	23560.352324	5155.188076
3	3	5	0	23946.243391	4987.459215
3	3	5	1	20601.722831	5125.050027
3	3	6	0	26000.208575	5426.251476
3	3	6	1	24208.208575	5426.251476
4	3	1	0	23771.551579	4727.823410
4	3	1	1	23771.551579	4727.823410
4	3	2	0	21314.253621	3290.322570
4	3	2	1	20617.163908	3385.211914
4	3	3	0	23825.382126	5059.047569
4	3	3	1	23238.345602	5014.763536
4	3	4	0	20574.552038	1410.989749
4	3	4	1	20102.666709	1375.927862
4	3	5	0	23935.116748	5167.496165
4	3	5	1	23692.637300	5239.756809
4	3	6	0	21592.329799	1515.841842
4	3	6	1	21597.976952	5169.097160
5	3	1	0	19517.786258	5543.036938
5	3	1	1	19815.715899	5709.471118
5	3	2	0	18411.642681	1666.016470
5	3	2	1	19983.377697	5253.475334
1	4	1	0	19166.524632	1637.639043
1	4	1	1	19098.432526	1554.390010
1	4	2	0	19331.826935	1666.079444
1	4	2	1	19055.625109	1627.650333
1	4	3	0	19179.690746	1638.923672
1	4	3	1	18875.772033	1612.706360
2	4	1	0	18108.570003	1511.071986
2	4	1	1	18154.832370	1486.464397
2	4	2	0	19587.263355	5789.923478
2	4	2	1	19582.820995	5747.237867
2	4	3	0	18678.593392	1502.682180
2	4	3	1	18992.945225	1588.146287
2	4	4	0	19535.308641	5580.060604
2	4	4	1	19521.471257	5298.132786
2	4	5	0	18408.269547	1600.155077
2	4	5	1	19411.322304	1592.055851
2	4	6	0	18339.473300	1657.864628
2	4	6	1	18826.343177	1634.166432
2	4	7	0	19136.037009	1710.453003
2	4	7	1	18783.958698	1720.783209
3	4	1	0	21463.504426	3231.405129
3	4	1	1	20324.065371	3140.147495
