#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	11545.159748	1368.010591
1	1	1	1	13728.857361	1571.662031
1	1	2	0	17851.797372	1750.001694
1	1	2	1	22676.306573	5093.313977
1	1	3	0	20855.375215	4920.927073
1	1	3	1	14230.917173	1637.207188
2	1	1	0	12640.021637	1632.841129
2	1	1	1	13838.852915	1644.497954
2	1	2	0	13371.268891	1778.081726
2	1	2	1	12913.924197	1783.059617
2	1	3	0	6500.897471	914.617230
2	1	3	1	7258.361298	986.435829
2	1	4	0	13324.888290	1688.226056
2	1	4	1	13333.013124	1749.636576
2	1	5	0	8330.206754	1094.603613
2	1	5	1	8886.732333	1232.903139
2	1	6	0	12842.519133	1625.607803
2	1	6	1	13814.346494	1786.836252
2	1	7	0	16435.369353	1694.025096
2	1	7	1	19144.603917	1627.189477
3	1	1	0	2013.878982	242.272563
3	1	1	1	1860.274317	269.660195
3	1	2	0	2206.001675	294.241289
3	1	2	1	1711.244315	208.465056
3	1	3	0	2732.515034	330.315480
3	1	3	1	2680.978399	329.594502
3	1	4	0	2160.756787	311.359700
3	1	4	1	2090.854440	264.214289
3	1	5	0	4272.790669	475.992104
3	1	5	1	3920.528652	444.985395
3	1	6	0	1843.888316	274.929335
3	1	6	1	1805.873133	339.715073
4	1	1	0	3070.525712	440.253368
4	1	1	1	8401.453068	810.275466
4	1	2	0	2123.833948	290.879300
4	1	2	1	1894.538550	289.503859
4	1	3	0	2090.347894	265.004266
4	1	3	1	1718.955794	212.857207
4	1	4	0	4176.375320	455.133541
4	1	4	1	3453.381333	376.677224
4	1	5	0	4575.754310	492.540315
4	1	5	1	4409.269830	496.387249
4	1	6	0	2713.103669	366.537765
4	1	6	1	2188.013564	477.165280
5	1	1	0	17089.763132	1719.106033
5	1	1	1	14728.003011	1733.637330
5	1	2	0	16731.931490	1766.985977
5	1	2	1	12430.828053	1668.644507
1	2	1	0	29903.569322	5637.232804
1	2	1	1	20529.630987	1393.708964
1	2	2	0	26487.076054	5660.766087
1	2	2	1	26716.763387	5633.975330
1	2	3	0	18287.946186	1642.830623
1	2	3	1	28347.648728	5599.696844
2	2	1	0	12812.708042	1673.381278
2	2	1	1	15332.879394	1772.767730
2	2	2	0	15045.823352	1842.365185
2	2	2	1	14771.252857	1778.975222
2	2	3	0	13889.725290	1710.174333
2	2	3	1	17485.856945	1648.723929
2	2	4	0	19064.580235	1700.294362
2	2	4	1	18218.047004	1771.266752
2	2	5	0	14215.426183	1768.060050
2	2	5	1	15258.056685	1744.223753
2	2	6	0	15925.426258	1777.374666
2	2	6	1	20987.182555	5538.301652
2	2	7	0	18111.096751	1749.051639
2	2	7	1	17283.507100	1686.588729
3	2	1	0	2040.498231	234.987375
3	2	1	1	7515.255125	769.391090
3	2	2	0	2459.158748	325.131221
3	2	2	1	2751.325298	343.700239
3	2	3	0	3157.069013	368.808356
3	2	3	1	1998.106171	266.801020
3	2	4	0	3050.275850	383.141975
3	2	4	1	3223.886207	387.325377
3	2	5	0	2447.006551	577.118984
3	2	5	1	2705.190382	358.779095
3	2	6	0	1484.517526	264.921251
3	2	6	1	1818.684525	438.971969
4	2	1	0	6092.959344	606.538287
4	2	1	1	6574.954762	626.678129
4	2	2	0	2336.521720	274.310136
4	2	2	1	2544.923122	290.636692
4	2	3	0	3919.983254	428.020835
4	2	3	1	3901.133208	428.525800
4	2	4	0	1921.446132	289.822467
4	2	4	1	1777.689756	267.214931
4	2	5	0	7718.580971	850.667136
4	2	5	1	3313.645199	390.534396
4	2	6	0	1269.951373	213.442413
4	2	6	1	1228.522494	207.014296
5	2	1	0	14516.624587	1660.898704
5	2	1	1	19565.099851	5543.688379
5	2	2	0	21772.179932	5522.390615
5	2	2	1	17944.865906	1675.712674
1	3	1	0	25395.718879	5301.149402
1	3	1	1	27124.967757	5564.906496
1	3	2	0	-1.000000	-1.000000
1	3	2	1	-1.000000	-1.000000
1	3	3	0	28963.736996	5944.394329
1	3	3	1	-1.000000	-1.000000
2	3	1	0	12960.959033	1642.983046
2	3	1	1	14017.677963	1700.178386
2	3	2	0	25436.444321	6856.091298
2	3	2	1	20496.224789	5949.720865
2	3	3	0	17309.739315	1662.268943
2	3	3	1	18392.728122	1521.072893
2	3	4	0	17948.433156	1691.173489
2	3	4	1	19326.823084	1645.128791
2	3	5	0	18354.550016	1728.540950
2	3	5	1	15806.995545	1743.245733
2	3	6	0	18018.653408	1686.203105
2	3	6	1	18148.509332	1694.114853
2	3	7	0	16546.721476	1654.741622
2	3	7	1	18162.033385	1658.253029
3	3	1	0	1835.391084	233.016128
3	3	1	1	1702.571749	193.833162
3	3	2	0	2188.926318	284.607147
3	3	2	1	2179.798969	318.791280
3	3	3	0	1583.133283	246.889853
3	3	3	1	2471.183667	313.153254
3	3	4	0	5868.980429	652.544251
3	3	4	1	4559.711407	540.021600
3	3	5	0	6268.814717	815.731631
3	3	5	1	3764.771426	477.232139
3	3	6	0	3595.684174	798.090808
3	3	6	1	3080.073286	1109.473653
4	3	1	0	6590.708028	668.425047
4	3	1	1	6457.867936	676.788866
4	3	2	0	6030.588054	666.079584
4	3	2	1	2970.532061	321.506181
4	3	3	0	7240.375835	748.835700
4	3	3	1	9188.795809	947.596036
4	3	4	0	2781.657020	505.946664
4	3	4	1	3460.102910	415.881552
4	3	5	0	2078.355524	313.653672
4	3	5	1	2551.203205	328.844905
4	3	6	0	2064.124848	447.131652
4	3	6	1	2332.392803	310.893860
5	3	1	0	14664.878071	1635.879776
5	3	1	1	15891.771756	1633.926761
5	3	2	0	24028.175569	6190.804358
5	3	2	1	18765.520431	1631.978604
1	4	1	0	18629.187098	1606.693139
1	4	1	1	22974.654136	4861.938488
1	4	2	0	31414.860752	6006.619203
1	4	2	1	28868.291103	5806.436899
1	4	3	0	31752.652389	6199.652458
1	4	3	1	28045.114038	5760.100840
2	4	1	0	10024.776332	1443.537192
2	4	1	1	9224.641635	1301.345393
2	4	2	0	20627.031123	5903.822682
2	4	2	1	16042.984377	1822.437512
2	4	3	0	17821.751994	1603.590172
2	4	3	1	25475.439115	5645.642859
2	4	4	0	16159.444147	1795.924741
2	4	4	1	14980.399860	1718.435179
2	4	5	0	20669.061940	5270.317405
2	4	5	1	32583.522924	6336.542252
2	4	6	0	14459.035976	1723.950077
2	4	6	1	20554.659413	5112.983379
2	4	7	0	36279.773430	6666.331810
2	4	7	1	30992.938535	6508.041591
3	4	1	0	3801.071650	399.515698
3	4	1	1	1852.245099	202.242819
3	4	2	0	2223.296944	293.952117
3	4	2	1	1794.305192	285.752086
3	4	3	0	2749.941204	320.491617
3	4	3	1	2605.949414	309.872138
3	4	4	0	9342.004470	1033.622233
3	4	4	1	11273.143607	1267.861091
3	4	5	0	4097.595598	543.845756
