#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	5262.956133	1242.366152
1	1	1	1	5874.778082	700.939158
1	1	2	0	7431.083917	1363.418992
1	1	2	1	10515.692157	1156.949786
1	1	3	0	9895.864940	1186.479767
1	1	3	1	6292.287386	759.547801
2	1	1	0	5470.288104	751.155848
2	1	1	1	5859.657529	793.589011
2	1	2	0	5812.088067	814.399282
2	1	2	1	5659.355973	960.109728
2	1	3	0	2578.563048	438.974478
2	1	3	1	2889.303914	448.494412
2	1	4	0	5761.509274	797.164247
2	1	4	1	5777.390494	831.216510
2	1	5	0	3592.443866	502.654097
2	1	5	1	3866.976518	574.277545
2	1	6	0	5486.853154	747.938501
2	1	6	1	5886.737702	1418.130086
2	1	7	0	7278.385073	901.216208
2	1	7	1	8143.848825	1054.647202
3	1	1	0	13637.589655	1273.741499
3	1	1	1	12156.975807	1196.994653
3	1	2	0	13516.026098	1438.422782
3	1	2	1	10064.456786	1046.324308
3	1	3	0	15353.062026	1568.231342
3	1	3	1	16108.339472	1536.458792
3	1	4	0	12154.787942	1239.676016
3	1	4	1	12327.474093	1258.029668
3	1	5	0	11679.862483	1329.015558
3	1	5	1	10516.526939	1124.472467
3	1	6	0	12120.712878	1363.717303
3	1	6	1	12092.432178	1354.427485
4	1	1	0	21537.640191	1687.091758
4	1	1	1	28456.739862	4739.915551
4	1	2	0	12844.146782	1249.962003
4	1	2	1	11359.915833	1127.681972
4	1	3	0	12755.089704	1228.543916
4	1	3	1	11870.706729	1158.651098
4	1	4	0	11188.261123	1166.262467
4	1	4	1	9916.710376	1027.598273
4	1	5	0	11859.167965	1325.146351
4	1	5	1	11680.525290	1372.310046
4	1	6	0	16713.038577	1739.060811
4	1	6	1	15006.765034	1591.236210
5	1	1	0	7447.815381	1052.250847
5	1	1	1	6306.929023	857.390196
5	1	2	0	6754.082350	985.623920
5	1	2	1	5305.421651	772.978145
1	2	1	0	13127.090635	1436.794303
1	2	1	1	9575.765817	1085.101281
1	2	2	0	12322.125287	1415.419743
1	2	2	1	11480.284115	1341.965824
1	2	3	0	7458.309052	955.089032
1	2	3	1	11870.031981	1428.621142
2	2	1	0	5280.902235	707.349452
2	2	1	1	6732.542937	975.878611
2	2	2	0	6608.249278	1158.092810
2	2	2	1	6375.297392	908.287246
2	2	3	0	5747.990248	866.148530
2	2	3	1	8085.015133	1232.371929
2	2	4	0	8553.887005	1164.417987
2	2	4	1	8144.814191	1128.004070
2	2	5	0	6174.982440	864.623122
2	2	5	1	6689.825434	903.079679
2	2	6	0	6959.994531	937.152341
2	2	6	1	8921.854488	1205.125187
2	2	7	0	8093.475478	1081.723408
2	2	7	1	7652.786590	1032.333509
3	2	1	0	6225.449534	607.883663
3	2	1	1	21824.989925	4562.978636
3	2	2	0	14274.001959	1485.408296
3	2	2	1	15933.178123	1510.642227
3	2	3	0	10896.550287	1265.137103
3	2	3	1	10724.176597	1152.582438
3	2	4	0	10759.148650	1333.313288
3	2	4	1	10612.636332	1315.127174
3	2	5	0	13583.955843	1583.050652
3	2	5	1	12672.163282	1447.772022
3	2	6	0	8185.436374	892.419363
3	2	6	1	10818.330868	1161.465959
4	2	1	0	17723.747387	1377.729649
4	2	1	1	17210.542765	1388.582476
4	2	2	0	12035.556986	1147.415688
4	2	2	1	13433.941974	1267.115201
4	2	3	0	11373.577530	1108.355000
4	2	3	1	10953.104073	1173.348748
4	2	4	0	11178.818763	1203.278647
4	2	4	1	10365.275081	1080.371936
4	2	5	0	25917.229412	5243.902773
4	2	5	1	12430.218350	1438.273612
4	2	6	0	6837.372568	778.005720
4	2	6	1	6813.910620	793.184721
5	2	1	0	6225.924918	922.184270
5	2	1	1	8161.453731	1168.271632
5	2	2	0	9134.905395	1215.130200
5	2	2	1	7858.550138	1183.756049
1	3	1	0	10760.692288	1158.898923
1	3	1	1	11957.105142	1341.136911
1	3	2	0	12403.204880	1463.005484
1	3	2	1	10599.249638	1249.218161
1	3	3	0	12957.894700	1578.290445
1	3	3	1	14650.069844	1650.008707
2	3	1	0	5237.869996	729.409805
2	3	1	1	5774.173513	834.553982
2	3	2	0	11035.502123	1536.977687
2	3	2	1	8709.572584	1651.300946
2	3	3	0	7571.726018	1095.100377
2	3	3	1	8083.982200	1098.647514
2	3	4	0	8004.992781	1130.411282
2	3	4	1	8597.617945	1196.872105
2	3	5	0	8099.326830	1072.363546
2	3	5	1	6938.882663	909.578504
2	3	6	0	7980.072079	1048.580801
2	3	6	1	8144.826678	1143.534289
2	3	7	0	7249.416607	944.807783
2	3	7	1	8132.948735	1099.179958
3	3	1	0	9201.243430	907.944654
3	3	1	1	8675.383562	850.566029
3	3	2	0	10548.841228	1064.728940
3	3	2	1	10936.472052	2435.722595
3	3	3	0	8013.923138	795.968886
3	3	3	1	9484.742538	908.526050
3	3	4	0	21947.236720	5181.675450
3	3	4	1	18730.519023	1598.634601
3	3	5	0	5586.047284	4630.405846
3	3	5	1	11236.334686	1308.729756
3	3	6	0	8518.515482	3708.492808
3	3	6	1	17649.315676	1688.724293
4	3	1	0	28678.619364	4852.754008
4	3	1	1	26355.581504	4854.621780
4	3	2	0	18655.068051	3260.174654
4	3	2	1	10825.222827	1116.991454
4	3	3	0	27341.423371	4805.802574
4	3	3	1	28758.493573	4683.914671
4	3	4	0	10310.942754	1055.859688
4	3	4	1	11288.452486	1164.964057
4	3	5	0	10816.701256	1249.488371
4	3	5	1	12343.071819	1379.193990
4	3	6	0	9219.747001	934.082348
4	3	6	1	8395.517498	853.179115
5	3	1	0	6479.784414	906.134893
5	3	1	1	7111.845885	1062.424381
5	3	2	0	10145.846119	1467.661149
5	3	2	1	8451.774655	1111.602413
1	4	1	0	8005.373968	1204.626955
1	4	1	1	9733.890984	1073.972792
1	4	2	0	14033.343887	1582.811409
1	4	2	1	12222.415127	2415.304192
1	4	3	0	14224.105065	1664.983278
1	4	3	1	12681.741120	1509.911922
2	4	1	0	3870.686731	627.637339
2	4	1	1	3598.064153	559.535779
2	4	2	0	8685.292726	1394.293885
2	4	2	1	7021.351333	935.005964
2	4	3	0	7803.485092	1031.813259
2	4	3	1	10661.657708	1441.955601
2	4	4	0	7045.512265	1016.799426
2	4	4	1	6526.346747	922.676018
2	4	5	0	9076.936284	1175.055509
2	4	5	1	14115.535899	1690.439426
2	4	6	0	6297.109782	891.582767
2	4	6	1	8589.310573	1081.976083
2	4	7	0	17049.376628	1759.907972
2	4	7	1	14575.124450	1746.728329
3	4	1	0	14780.096717	3100.820215
3	4	1	1	7402.119426	749.433201
3	4	2	0	9544.533496	923.754137
3	4	2	1	9547.982028	1319.743824
3	4	3	0	10447.120414	1109.077299
3	4	3	1	10087.856783	1056.001110
3	4	4	0	27284.861622	5079.877872
3	4	4	1	29205.356397	4670.291391
3	4	5	0	11361.998215	1326.456636
3	4	5	1	10520.878003	1229.996988
3	4	6	0	13296.682642	1619.628194
3	4	6	1	13914.847765	1675.850161
4	4	1	0	8982.147369	903.373561
4	4	1	1	11096.844452	1062.286786
4	4	2	0	10988.182560	1091.344596
4	4	2	1	12552.575739	1274.938285
4	4	3	0	10761.624539	1064.850380
4	4	3	1	10193.400249	946.100386
4	4	4	0	9908.694249	1011.052704
4	4	4	1	10196.945142	1073.181442
4	4	5	0	14630.272747	1547.669691
4	4	5	1	10731.347420	1086.589655
4	4	6	0	16742.171824	1316.948935
4	4	6	1	21320.562059	4706.383300
5	4	1	0	9118.992013	1243.367128
5	4	1	1	7760.047507	967.104085
5	4	2	0	10708.787010	1599.149724
5	4	2	1	10557.511261	1352.804796
1	5	1	0	12048.220853	1400.649863
1	5	1	1	10169.928821	1129.881373
1	5	2	0	12856.255670	1490.171565
1	5	2	1	13830.587985	1494.574729
1	5	3	0	10859.642002	1248.850423
1	5	3	1	10181.274974	1178.579170
2	5	1	0	12089.483828	1390.545380
2	5	1	1	11912.959662	1433.605192
2	5	2	0	10654.302532	1440.764675
2	5	2	1	8401.757732	1139.726027
2	5	3	0	13364.342475	1600.526524
2	5	3	1	11086.879278	1519.076528
2	5	4	0	12738.233262	1623.605382
2	5	4	1	11729.698840	1450.423208
2	5	5	0	7125.301432	903.830507
2	5	5	1	10633.710835	1243.997782
2	5	6	0	7671.873720	979.881383
2	5	6	1	11546.594229	1471.394976
2	5	7	0	7261.237136	986.816508
2	5	7	1	10785.532266	1500.483583
3	5	1	0	11073.960376	1011.234353
3	5	1	1	11086.009100	1012.199298
3	5	2	0	11308.928039	1022.239705
3	5	2	1	11089.111163	1064.865260
3	5	3	0	10469.101627	996.538707
3	5	3	1	10694.344829	977.418574
3	5	4	0	11114.774578	1099.526673
3	5	4	1	11269.319697	1102.179685
3	5	5	0	11732.730128	1248.997930
3	5	5	1	11103.021823	1173.999445
4	5	1	0	11288.840989	993.885456
4	5	1	1	11029.908211	956.842789
4	5	2	0	20123.931018	1435.543194
4	5	2	1	18291.334757	1477.049249
4	5	3	0	11679.291416	1116.046732
4	5	3	1	10936.212419	1017.329731
4	5	4	0	10744.740978	1043.154269
4	5	4	1	10514.619067	967.071879
4	5	5	0	10626.390843	878.106530
4	5	5	1	10859.261657	896.294444
1	6	1	0	4733.993263	1932.810416
1	6	1	1	-1.000000	-1.000000
1	6	2	0	2799.724647	1187.941064
1	6	2	1	-1.000000	-1.000000
1	6	3	0	2587.418805	1136.974685
1	6	3	1	-1.000000	-1.000000
2	6	1	0	205.758014	567.795551
2	6	1	1	-1.000000	-1.000000
2	6	2	0	173.381013	1001.200081
2	6	2	1	-1.000000	-1.000000
2	6	3	0	1449.988393	888.364637
2	6	3	1	-1.000000	-1.000000
2	6	4	0	1613.837015	1443.843530
2	6	4	1	-1.000000	-1.000000
2	6	5	0	1083.023118	836.975766
2	6	5	1	-1.000000	-1.000000
2	6	6	0	1288.716041	853.133002
2	6	6	1	-1.000000	-1.000000
2	6	7	0	1322.646810	802.159609
2	6	7	1	-1.000000	-1.000000
3	6	1	0	6039.816594	1670.320678
3	6	1	1	-1.000000	-1.000000
3	6	2	0	3084.526548	1220.508182
3	6	2	1	-1.000000	-1.000000
3	6	3	0	5795.873584	2073.067843
3	6	3	1	-1.000000	-1.000000
3	6	4	0	-1.000000	-1.000000
3	6	4	1	-1.000000	-1.000000
3	6	5	0	2335.081840	1656.178034
3	6	5	1	-1.000000	-1.000000
3	6	6	0	2264.434336	531.251300
3	6	6	1	-1.000000	-1.000000
4	6	1	0	-1.000000	-1.000000
4	6	1	1	-1.000000	-1.000000
4	6	2	0	-1.000000	-1.000000
4	6	2	1	6053.634204	2017.372213
4	6	3	0	-1.000000	-1.000000
4	6	3	1	6926.034910	2276.219670
4	6	4	0	-1.000000	-1.000000
4	6	4	1	8128.705367	1525.893609
4	6	5	0	-1.000000	-1.000000
4	6	5	1	7630.638301	810.492413
4	6	6	0	-1.000000	-1.000000
4	6	6	1	1969.144839	3210.551181
5	6	1	0	2704.159567	1714.095157
5	6	1	1	-1.000000	-1.000000
5	6	2	0	671.850940	1066.121661
5	6	2	1	-1.000000	-1.000000
