#Sector	Layer	Component	tdc_TShift	tdc_c	fadc_TShift	fadc_c

1	1	1	-0.600000	13.839662	-3.400000	13.957447
1	1	2	1.050000	13.666667	-2.100000	13.957447
1	1	3	-0.750000	13.898305	-3.650000	13.898305
2	1	1	-0.950000	13.931034	0.700000	14.275618
2	1	2	-1.450000	13.931034	0.500000	14.275618
2	1	3	-1.450000	13.931034	0.350000	14.225352
2	1	4	4.800000	13.694915	-1.700000	14.175439
2	1	5	4.800000	13.694915	-1.800000	14.275618
2	1	6	4.550000	13.931034	-2.000000	14.275618
2	1	7	2.800000	13.694915	1.000000	14.275618
3	1	1	4.050000	12.750000	0.700000	12.289157
3	1	2	4.750000	13.421053	2.100000	12.592593
3	1	3	-0.650000	13.421053	-3.850000	12.750000
3	1	4	-1.450000	12.750000	0.600000	12.592593
3	1	5	-0.700000	13.600000	0.900000	12.000000
3	1	6	2.050000	12.750000	1.750000	12.439024
4	1	1	12.050000	12.750000	9.100000	12.592593
4	1	2	2.550000	12.750000	-0.050000	12.439024
4	1	3	-3.200000	13.600000	-3.000000	12.289157
4	1	4	-0.600000	13.246753	-2.000000	11.724138
4	1	5	0.750000	13.421053	-0.750000	12.439024
4	1	6	-1.200000	13.600000	0.450000	12.439024
5	1	1	-0.450000	13.931034	0.100000	14.175439
5	1	2	3.800000	13.694915	3.950000	14.326241
1	2	1	1.550000	13.666667	-1.300000	14.077253
1	2	2	-1.400000	13.609959	-3.700000	13.957447
1	2	3	-1.450000	13.666667	-4.100000	13.957447
2	2	1	-1.700000	13.694915	0.100000	14.377224
2	2	2	-1.200000	14.175439	0.600000	14.377224
2	2	3	-0.700000	13.694915	1.000000	14.275618
2	2	4	3.550000	13.931034	-2.500000	14.275618
2	2	5	4.550000	13.931034	-1.650000	14.225352
2	2	6	4.450000	13.835616	-2.150000	14.125874
2	2	7	2.550000	13.931034	0.200000	14.275618
3	2	1	-0.450000	12.750000	-3.000000	12.289157
3	2	2	3.800000	13.600000	1.350000	12.142857
3	2	3	-5.800000	13.246753	-8.550000	12.439024
3	2	4	-1.950000	12.750000	-0.400000	12.592593
3	2	5	0.350000	13.421053	1.650000	12.750000
3	2	6	-0.450000	12.750000	-0.300000	12.289157
4	2	1	5.300000	13.600000	2.350000	11.860465
