#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	21200.373991	5082.415657
1	1	1	1	21543.757450	5192.150626
1	1	2	0	21403.849235	1602.719960
1	1	2	1	20587.790218	1612.090835
1	1	3	0	21345.446527	4932.743994
1	1	3	1	21368.101524	5543.903704
2	1	1	0	21491.860502	5238.361882
2	1	1	1	21673.535839	5130.696637
2	1	2	0	21712.556672	6237.210968
2	1	2	1	21526.734901	6309.048724
2	1	3	0	19634.728625	1561.779910
2	1	3	1	21436.762592	5148.749747
2	1	4	0	21648.473655	5594.720086
2	1	4	1	21703.281529	5650.442782
2	1	5	0	20996.244039	5271.352925
2	1	5	1	20961.746513	5427.076743
2	1	6	0	21422.107366	5394.571038
2	1	6	1	21616.542211	5892.661710
2	1	7	0	21812.889949	5260.773471
2	1	7	1	23009.838146	5650.895947
3	1	1	0	31229.836746	4510.912682
3	1	1	1	30161.176792	4532.815058
3	1	2	0	29938.639667	4400.516182
3	1	2	1	29301.841641	4409.871964
3	1	3	0	30162.776232	4657.545311
3	1	3	1	31156.682040	4813.077019
3	1	4	0	30375.332748	4795.424755
3	1	4	1	30832.173653	4862.698825
3	1	5	0	23224.230718	5238.505109
3	1	5	1	22690.877800	5037.460064
3	1	6	0	30068.837734	5325.644679
3	1	6	1	30228.975433	5452.496026
4	1	1	0	33394.939898	4839.246347
4	1	1	1	28396.644162	4669.966887
4	1	2	0	30555.354863	4452.170095
4	1	2	1	29658.124337	4552.420818
4	1	3	0	30199.081867	4627.396036
4	1	3	1	31673.338661	4485.674369
4	1	4	0	23277.220451	4933.386308
4	1	4	1	24030.109389	4779.845797
4	1	5	0	22842.882057	4950.080363
4	1	5	1	22708.110746	4871.266358
4	1	6	0	31610.781900	5113.037205
4	1	6	1	20334.157569	1640.512890
5	1	1	0	22556.586124	6100.907553
5	1	1	1	22099.761471	5716.095708
5	1	2	0	23563.488198	6416.058273
5	1	2	1	21700.484546	6090.267391
1	2	1	0	22812.495995	4993.153407
1	2	1	1	22286.981865	4872.856274
1	2	2	0	20852.304224	1680.853176
1	2	2	1	22685.921709	5081.520281
1	2	3	0	23179.433839	5635.881883
1	2	3	1	22849.617723	5229.079541
2	2	1	0	21923.632303	5148.449689
2	2	1	1	21624.971839	5502.777780
2	2	2	0	21880.738378	6365.535824
2	2	2	1	21507.100978	6240.473045
2	2	3	0	22500.351297	5593.146136
2	2	3	1	22554.068705	5986.667412
2	2	4	0	22728.382142	5795.516706
2	2	4	1	22638.319318	6049.383343
2	2	5	0	21753.965762	5888.546691
2	2	5	1	21920.080467	5605.805523
2	2	6	0	22077.315898	5451.602115
2	2	6	1	22390.553248	5602.985866
2	2	7	0	22520.272540	6155.505894
2	2	7	1	22278.079988	5634.071121
3	2	1	0	23794.190207	4706.825458
3	2	1	1	24784.411116	4714.940233
3	2	2	0	30482.235612	4941.682686
3	2	2	1	31042.592794	4395.740894
3	2	3	0	25408.886333	4820.942041
3	2	3	1	28832.654784	4742.145646
3	2	4	0	24673.915278	4695.254491
3	2	4	1	24629.983644	4670.501545
3	2	5	0	29351.772000	4956.763737
3	2	5	1	27636.469279	5027.338749
3	2	6	0	29203.809626	5090.757597
3	2	6	1	29964.157704	5169.833884
4	2	1	0	24833.384815	4595.752640
4	2	1	1	23112.757690	4191.673773
4	2	2	0	28707.312931	4424.072427
4	2	2	1	28909.288442	4372.172487
4	2	3	0	23627.494687	4890.890986
4	2	3	1	23678.181600	5246.750630
4	2	4	0	28811.730994	4626.084928
4	2	4	1	28903.532858	4489.049931
4	2	5	0	27127.943576	4918.247425
4	2	5	1	26169.679064	4513.182007
4	2	6	0	28518.606721	5265.748680
4	2	6	1	28532.786197	4953.732922
5	2	1	0	22103.621064	6223.659288
5	2	1	1	22702.618817	6055.796445
5	2	2	0	22642.737919	5756.151820
5	2	2	1	22947.972926	6467.085401
1	3	1	0	21633.237174	1597.147721
1	3	1	1	21359.057043	1505.161992
1	3	2	0	21500.218379	1552.531513
1	3	2	1	22792.523741	4913.530755
1	3	3	0	22490.266149	5606.398073
1	3	3	1	23081.559728	5438.589697
2	3	1	0	21902.510979	5406.849894
2	3	1	1	22325.578405	5643.821931
2	3	2	0	22599.259284	6504.514824
2	3	2	1	21962.440703	6316.405787
2	3	3	0	22250.160326	5580.897261
2	3	3	1	22615.778492	5297.849748
2	3	4	0	22502.775484	5997.173438
2	3	4	1	22823.433020	5722.372592
2	3	5	0	22406.016609	5665.552994
2	3	5	1	21934.720902	5348.927937
2	3	6	0	22163.113786	5352.831345
