#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	9934.522424	1193.375594
1	1	1	1	9824.109704	1177.004156
1	1	2	0	9869.994231	1154.441016
1	1	2	1	9910.901640	1110.600859
1	1	3	0	10067.040484	1235.683254
1	1	3	1	9907.156837	1232.650805
2	1	1	0	9888.040952	1372.222616
2	1	1	1	9888.040952	1372.222616
2	1	2	0	10033.777476	1976.615332
2	1	2	1	9778.857257	1481.384074
2	1	3	0	10005.618918	1409.709809
2	1	3	1	10093.735905	1354.885179
2	1	4	0	10004.434685	1396.633308
2	1	4	1	9989.097558	1412.739375
2	1	5	0	10318.246421	1389.893260
2	1	5	1	10264.521339	1404.245681
2	1	6	0	9903.573239	1287.434487
2	1	6	1	9875.846832	1354.473228
2	1	7	0	9801.941121	1254.596820
2	1	7	1	9526.237233	1255.241197
3	1	1	0	6143.354621	618.352158
3	1	1	1	6186.646601	651.196206
3	1	2	0	6462.726902	701.619035
3	1	2	1	6607.092617	719.622590
3	1	3	0	6584.943720	682.888535
3	1	3	1	6488.763384	698.253815
3	1	4	0	6541.819553	706.527114
3	1	4	1	6407.067511	702.662920
3	1	5	0	9044.419378	980.662443
3	1	5	1	9256.611768	1001.107638
3	1	6	0	5869.247892	710.564454
3	1	6	1	5869.247892	710.564454
4	1	1	0	5749.607969	622.066199
4	1	1	1	8511.672398	843.009094
4	1	2	0	6444.670690	681.693606
4	1	2	1	6444.670690	681.693606
4	1	3	0	6313.951495	667.929693
4	1	3	1	6072.779725	643.716421
4	1	4	0	9294.996173	980.951099
4	1	4	1	8988.066739	950.274231
4	1	5	0	9487.073052	1053.698918
4	1	5	1	9240.796775	1098.342966
4	1	6	1	6500.045495	585.375842
4	1	6	1	4508.045495	585.375842
5	1	1	0	9856.786864	1406.319304
5	1	1	1	9884.260498	1372.897528
5	1	2	0	9677.295355	1425.929202
5	1	2	1	10101.970222	1427.473810
1	2	1	0	9439.320327	1060.845817
1	2	1	1	10107.872062	1152.531522
1	2	2	0	9886.307431	1189.254073
1	2	2	1	9133.709626	1713.430565
1	2	3	0	9491.899416	1214.078203
1	2	3	1	9289.554564	1113.448285
2	2	1	0	9713.090860	1321.306574
2	2	1	1	9705.599047	1457.727201
2	2	2	0	9847.521997	1380.261768
2	2	2	1	9700.071735	1453.731283
2	2	3	0	9645.621983	1460.800385
2	2	3	1	10020.409539	1570.731892
2	2	4	0	9968.717509	1328.167072
2	2	4	1	9924.022281	1392.147097
2	2	5	0	9924.779592	1390.328358
2	2	5	1	9917.177112	1357.682733
2	2	6	0	9943.033749	1333.766921
2	2	6	1	9661.785730	1345.776197
2	2	7	0	9898.500698	1377.049592
2	2	7	1	9870.861542	1341.014589
3	2	1	0	9266.318997	939.301970
3	2	1	1	8896.258877	868.283974
3	2	2	0	6420.195084	708.240917
3	2	2	1	6581.218210	716.246006
3	2	3	0	8120.329939	917.753634
3	2	3	1	6809.779625	782.821109
3	2	4	0	8116.308774	969.654812
3	2	4	1	8389.606877	960.000711
3	2	5	0	6904.245593	813.346962
3	2	5	1	7139.194215	806.543222
