#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	14887.376978	1595.614081
1	1	1	1	15135.186888	1587.726938
1	1	2	0	14954.537696	1653.652198
1	1	2	1	15247.905082	1655.306062
1	1	3	0	14855.242521	1643.255705
1	1	3	1	14842.724015	1667.215045
2	1	1	0	14777.486219	1715.135693
2	1	1	1	15387.797693	1718.859771
2	1	2	0	14680.181462	1833.576331
2	1	2	1	14859.336916	1816.434468
2	1	3	0	14282.449881	1714.202012
2	1	3	1	14604.201593	1659.301637
2	1	4	0	14806.855631	1731.321945
2	1	4	1	14825.619470	1784.892370
2	1	5	0	14471.100481	1759.426515
2	1	5	1	14333.620683	1798.694752
2	1	6	0	14977.397056	1748.342959
2	1	6	1	14854.810434	1816.697585
2	1	7	0	14975.846682	1717.570516
2	1	7	1	15369.676840	1728.397140
3	1	1	0	14169.668704	1369.309915
3	1	1	1	15461.768096	1483.506036
3	1	2	0	14155.973952	1451.783875
3	1	2	1	17100.677564	1501.680495
3	1	3	0	15055.663646	1508.638954
3	1	3	1	15101.690018	1525.778753
3	1	4	0	15157.255065	1517.531915
3	1	4	1	15338.062317	1543.260931
3	1	5	0	15480.979511	1450.300741
3	1	5	1	15860.031414	1491.924274
3	1	6	0	14566.652691	1647.491233
3	1	6	1	14832.120092	1658.632220
4	1	1	0	13549.873644	1301.889457
4	1	1	1	13338.436269	1360.549603
4	1	2	0	15854.403503	1543.945223
4	1	2	1	16296.561764	1537.921757
4	1	3	0	18365.144194	1671.843923
4	1	3	1	16118.558970	1593.392748
4	1	4	0	15818.771160	1515.103936
4	1	4	1	16604.203240	1396.913214
4	1	5	0	15247.222965	1366.681474
4	1	5	1	15590.466274	1372.144182
4	1	6	0	15404.789738	1687.995475
4	1	6	1	16634.998011	1710.897901
5	1	1	0	15248.760048	1756.206634
5	1	1	1	15144.479560	1717.339864
5	1	2	0	15101.336482	1797.700016
5	1	2	1	14724.967310	1734.126638
1	2	1	0	15038.678770	1595.777587
1	2	1	1	15239.983276	1601.954488
1	2	2	0	15011.958607	1683.541857
1	2	2	1	15035.293966	1627.523674
1	2	3	0	15567.460362	1718.419454
1	2	3	1	15252.525273	1686.153043
2	2	1	0	14928.343173	1692.463188
2	2	1	1	14821.167115	1748.326507
2	2	2	0	14983.465352	1882.539415
2	2	2	1	15055.533171	1843.416527
2	2	3	0	14979.086544	1691.594903
2	2	3	1	14986.870481	1771.865347
2	2	4	0	15206.524870	1780.018986
2	2	4	1	15185.240024	1817.644370
2	2	5	0	14918.905952	1778.303320
2	2	5	1	15003.126906	1716.079885
2	2	6	0	15024.556503	1757.285780
2	2	6	1	15402.730024	1810.037465
2	2	7	0	15285.764370	1816.659810
2	2	7	1	15183.515928	1722.369920
3	2	1	0	17767.785201	1225.842007
3	2	1	1	13871.714560	1312.434614
3	2	2	0	14952.014089	1540.696987
3	2	2	1	15048.902047	1373.600105
3	2	3	0	16223.579357	1416.797939
3	2	3	1	16384.886876	1656.223356
3	2	4	0	15991.611023	1478.545346
3	2	4	1	16095.284821	1436.895834
3	2	5	0	14443.129938	1646.181894
3	2	5	1	15812.295976	1711.127267
3	2	6	0	18745.769959	1745.850411
3	2	6	1	16643.627099	1792.977685
4	2	1	0	8657.070814	855.646557
4	2	1	1	14608.336842	1374.422138
4	2	2	0	15529.074668	1543.654296
4	2	2	1	14572.491461	1459.430172
4	2	3	0	15363.646667	1471.463551
4	2	3	1	15953.201741	1489.268235
4	2	4	0	16422.712142	1624.922591
4	2	4	1	16750.748038	1633.877015
4	2	5	0	14189.128052	1625.919907
4	2	5	1	15252.685394	1597.361267
4	2	6	0	18964.466716	1696.977784
4	2	6	1	18767.713059	1586.236621
5	2	1	0	15242.084262	1663.545095
5	2	1	1	15061.890004	1684.871457
5	2	2	0	15055.854975	1711.560569
5	2	2	1	15508.515197	1738.771404
1	3	1	0	15254.809482	1624.699085
1	3	1	1	15088.774821	1638.859027
1	3	2	0	15145.134853	1716.543121
1	3	2	1	15357.140514	1696.571923
1	3	3	0	15037.446635	1705.436257
1	3	3	1	15391.431869	1659.758773
2	3	1	0	15154.589104	1648.427848
2	3	1	1	14907.424252	1731.863842
2	3	2	0	14848.054863	1825.496806
2	3	2	1	14706.202104	1794.710604
2	3	3	0	15250.790712	1717.918173
2	3	3	1	15228.039596	1647.917847
2	3	4	0	15332.622872	1775.178867
2	3	4	1	15341.198029	1767.833294
2	3	5	0	15265.975066	1809.828664
2	3	5	1	14938.292203	1754.110417
2	3	6	0	15172.682516	1720.488821
2	3	6	1	15284.648944	1801.353370
2	3	7	0	15001.641475	1672.590905
2	3	7	1	15194.095840	1723.017498
3	3	1	0	17968.591225	1581.961647
3	3	1	1	16826.916048	1550.844828
3	3	2	0	17341.466640	1542.685694
3	3	2	1	16322.385897	1572.421768
3	3	3	0	17377.089066	1623.090302
3	3	3	1	17588.216048	1537.407511
3	3	4	0	13796.793077	1526.509285
3	3	4	1	14103.354392	1527.019253
3	3	5	0	7519.739686	4218.099039
3	3	5	1	15588.481386	1486.061234
3	3	6	0	7830.536233	3730.982775
3	3	6	1	13905.565888	1579.352726
4	3	1	0	12821.665741	1285.568088
4	3	1	1	9257.703357	931.427978
4	3	2	0	13970.381356	7812.301649
4	3	2	1	17459.260668	3510.994566
4	3	3	0	12887.840593	1297.255067
4	3	3	1	12309.246294	1258.238570
4	3	4	0	16306.915773	1543.097387
4	3	4	1	16462.803016	1562.809412
4	3	5	0	16385.447504	1659.999453
4	3	5	1	16016.666354	1623.103656
4	3	6	0	16315.409725	1674.959825
4	3	6	1	17248.759831	1666.069151
5	3	1	0	14756.089058	1645.143564
5	3	1	1	14911.333317	1695.832199
5	3	2	0	14921.366721	1758.331533
5	3	2	1	15141.649860	1716.423980
1	4	1	0	15277.320707	1620.348778
1	4	1	1	15221.480205	1612.409796
1	4	2	0	15227.160777	1672.745019
1	4	2	1	15083.575319	1671.371767
1	4	3	0	15246.177574	1756.732067
1	4	3	1	15193.072806	1713.593871
2	4	1	0	14849.356855	1676.316458
2	4	1	1	14975.746946	1672.113892
2	4	2	0	14933.463817	1809.448072
2	4	2	1	15045.423227	1827.056597
2	4	3	0	15105.461121	1693.945542
2	4	3	1	15190.754195	1748.500181
2	4	4	0	14933.128918	1798.713983
2	4	4	1	14798.163994	1718.412692
2	4	5	0	14982.514742	1696.318247
2	4	5	1	15231.307218	1767.784682
2	4	6	0	14863.471797	1735.920563
2	4	6	1	15203.376233	1740.569790
2	4	7	0	-49641.305594	17872.131038
2	4	7	1	15059.928975	1806.353943
3	4	1	0	16527.087244	3185.916364
3	4	1	1	18698.380740	2929.584908
3	4	2	0	18200.196354	1699.288231
3	4	2	1	18240.248018	1743.783576
3	4	3	0	16930.952807	1647.617406
3	4	3	1	16143.106248	1597.046014
3	4	4	0	14053.069635	1592.215173
3	4	4	1	13538.235153	1495.630576
3	4	5	0	16255.539481	1656.440156
3	4	5	1	16533.518203	1618.162272
3	4	6	0	16295.811796	1685.053782
3	4	6	1	15673.540009	1672.906093
4	4	1	0	16234.452772	1521.365637
4	4	1	1	16199.653728	1500.726276
4	4	2	0	16457.630814	1578.203284
4	4	2	1	15143.128019	1443.780499
4	4	3	0	16448.591618	1542.751497
4	4	3	1	16780.941725	1578.416753
4	4	4	0	16749.952396	1508.552349
4	4	4	1	16751.249332	1460.296414
4	4	5	0	16294.629309	1654.451713
4	4	5	1	16255.502538	1572.268323
4	4	6	0	14872.010345	1366.186029
4	4	6	1	14131.826787	1371.841852
