#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	14845.421153	1621.847466
1	1	1	1	14780.289617	1607.047854
1	1	2	0	15061.683849	1713.722373
1	1	2	1	14840.444673	1644.075978
1	1	3	0	14772.409983	1597.146835
1	1	3	1	14772.409983	1597.146835
2	1	1	0	14741.806812	1729.863967
2	1	1	1	14821.711655	1731.682060
2	1	2	0	14737.001987	1813.820646
2	1	2	1	14681.752243	1769.579721
2	1	3	0	14643.097037	1704.867003
2	1	3	1	14814.132839	1661.246196
2	1	4	0	14806.632673	1742.682376
2	1	4	1	14803.300588	1773.097046
2	1	5	0	14819.607586	1770.348477
2	1	5	1	14741.319344	1800.421931
2	1	6	0	14774.285624	1713.716559
2	1	6	1	14747.354179	1808.691764
2	1	7	0	14933.810914	1694.668957
2	1	7	1	15127.986522	1695.630786
3	1	1	0	15640.579115	1552.614241
3	1	1	1	15414.334094	1571.789825
3	1	2	0	15626.292960	1531.706358
3	1	2	1	15125.177246	1499.588990
3	1	3	0	15532.199075	1588.706353
3	1	3	1	15678.982021	1624.288157
3	1	4	0	15259.183246	1615.610488
3	1	4	1	15279.311671	1595.489657
3	1	5	0	14918.041227	1450.303943
3	1	5	1	14829.964792	1459.555004
3	1	6	0	15132.595462	1663.417966
3	1	6	1	15070.796918	1652.181310
4	1	1	0	15494.047642	1506.366132
4	1	1	1	16360.498944	1504.894674
4	1	2	0	15229.966753	1511.469094
4	1	2	1	15229.966753	1511.469094
4	1	3	0	15207.936024	1583.966728
4	1	3	1	15369.217947	1566.274983
4	1	4	0	14878.833486	1418.789335
4	1	4	1	14850.015193	1395.601116
4	1	5	0	14861.904849	1363.634215
4	1	5	1	14659.295882	1359.618109
4	1	6	0	15509.328956	1671.498355
4	1	6	1	14353.067047	1620.558523
5	1	1	0	15038.792935	1725.545620
5	1	1	1	14835.562477	1716.646263
5	1	2	0	15129.603822	1778.499963
5	1	2	1	14763.917533	1742.393597
1	2	1	0	14986.806145	1584.881773
