#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	2595.620709	342.206223
1	1	1	1	3065.209965	388.031587
1	1	2	0	4091.133119	537.701064
1	1	2	1	5630.474543	1201.411346
1	1	3	0	5673.963511	672.747723
1	1	3	1	3348.749241	430.348837
2	1	1	0	2887.128571	431.669235
2	1	1	1	2848.661913	672.730456
2	1	2	0	3077.403842	439.866111
2	1	2	1	2889.563629	463.215472
2	1	3	0	1320.421530	241.003360
2	1	3	1	1443.528114	265.048081
2	1	4	0	3047.125492	439.319480
2	1	4	1	3044.122138	470.895654
2	1	5	0	1915.511566	307.347233
2	1	5	1	2098.556304	370.030408
2	1	6	0	2895.578048	418.217028
2	1	6	1	3140.193180	489.871340
2	1	7	0	3806.523074	503.960452
2	1	7	1	4016.932977	580.322126
3	1	1	0	35263.715367	4215.001181
3	1	1	1	31730.567158	4475.151718
3	1	2	0	33023.147794	4328.792862
3	1	2	1	27034.861282	4565.058790
3	1	3	0	35686.168214	4201.739805
3	1	3	1	37380.044530	4421.001793
3	1	4	0	31672.526674	4707.846559
3	1	4	1	32399.263340	4650.855820
3	1	5	0	22178.416759	5312.201333
3	1	5	1	19543.611223	4879.594020
3	1	6	0	25343.804830	13868.446928
3	1	6	1	-1.000000	-1.000000
4	1	1	0	160375.247515	89854.510617
4	1	1	1	42926.429248	4615.590277
4	1	2	0	33115.913666	4158.375243
4	1	2	1	29889.030663	4473.515315
4	1	3	0	32396.065722	4527.624328
4	1	3	1	32894.977019	4548.093209
4	1	4	0	20817.802263	4698.963897
4	1	4	1	19438.636951	4600.372029
4	1	5	0	21591.817129	5186.889163
4	1	5	1	21500.141005	5094.300186
4	1	6	0	38603.997977	5213.309656
4	1	6	1	27685.438978	14789.559327
5	1	1	0	3839.567627	574.585627
5	1	1	1	3232.678020	817.345876
5	1	2	0	3271.096260	544.081703
5	1	2	1	2800.279570	451.287891
1	2	1	0	6944.779674	781.193136
1	2	1	1	5279.952859	625.603653
1	2	2	0	6827.456143	1015.167565
1	2	2	1	6003.708106	851.783815
1	2	3	0	3904.749211	964.850682
1	2	3	1	5881.775649	1386.988455
2	2	1	0	2651.975779	413.901742
2	2	1	1	2822.703339	954.411023
2	2	2	0	3463.004132	578.137743
2	2	2	1	3335.416448	533.935020
2	2	3	0	2827.334243	499.548398
2	2	3	1	4260.698804	722.612177
2	2	4	0	4526.885027	622.415713
2	2	4	1	4226.444311	608.538297
2	2	5	0	3236.592949	480.956466
2	2	5	1	3487.108379	501.045424
2	2	6	0	3665.962480	525.768994
2	2	6	1	5053.079403	1252.795745
2	2	7	0	4212.827869	589.104903
2	2	7	1	3973.824200	573.243356
3	2	1	0	11854.472973	1185.261729
3	2	1	1	-17498.777064	22686.705358
3	2	2	0	34610.811340	4761.483835
3	2	2	1	36962.853972	4200.888292
3	2	3	0	23436.488623	4992.664912
3	2	3	1	27302.081155	4880.154488
3	2	4	0	22523.069427	4796.397620
3	2	4	1	21952.381784	4877.397598
3	2	5	0	32247.245965	4680.157963
3	2	5	1	29309.140052	4984.410971
3	2	6	0	21251.844230	1458.960765
3	2	6	1	28962.627669	5580.663983
4	2	1	0	31781.543719	4357.847782
4	2	1	1	25163.660347	13020.454044
4	2	2	0	29415.284464	4572.002420
4	2	2	1	31561.119408	4493.653916
4	2	3	0	21448.696012	4601.134723
4	2	3	1	21016.500566	4900.196168
4	2	4	0	28303.518390	4944.371747
4	2	4	1	27423.700796	4783.329117
4	2	5	0	40045.467144	5474.682964
4	2	5	1	26937.397492	4645.782523
4	2	6	0	18440.307499	1694.453305
4	2	6	1	18243.841719	1647.025554
5	2	1	0	3177.182831	502.520419
