#Sector	Layer	Component	tdc_TShift	tdc_c	fadc_TShift	fadc_c

1	1	1	0.050000	13.666667	-3.000000	14.077253
1	1	2	1.550000	13.666667	-1.600000	13.957447
1	1	3	-1.950000	13.666667	-4.400000	13.957447
2	1	1	-1.200000	13.694915	0.900000	14.175439
2	1	2	-1.450000	13.931034	0.350000	14.428571
2	1	3	-0.950000	13.466667	0.600000	14.377224
2	1	4	4.800000	13.694915	-1.700000	14.175439
2	1	5	4.800000	13.694915	-1.600000	14.175439
2	1	6	5.050000	13.931034	-1.800000	14.275618
2	1	7	3.550000	13.931034	1.350000	14.428571
3	1	1	2.800000	13.600000	0.000000	12.289157
3	1	2	2.550000	12.750000	0.750000	12.439024
3	1	3	-0.450000	12.750000	-3.550000	12.439024
3	1	4	-1.250000	13.421053	0.600000	12.592593
3	1	5	-1.450000	12.750000	0.600000	12.592593
3	1	6	1.900000	13.246753	1.700000	12.289157
4	1	1	11.300000	13.600000	8.850000	12.142857
4	1	2	1.850000	13.421053	-0.400000	12.592593
4	1	3	-2.700000	13.600000	-2.750000	12.439024
4	1	4	-1.150000	13.421053	-2.300000	11.724138
4	1	5	0.750000	13.421053	-0.800000	12.289157
4	1	6	-1.950000	12.750000	-0.050000	12.439024
5	1	1	-0.950000	13.931034	-0.300000	14.076655
5	1	2	2.800000	13.694915	3.200000	14.275618
1	2	1	0.300000	13.957447	-2.300000	14.077253
1	2	2	-1.200000	13.957447	-3.750000	13.781513
1	2	3	0.200000	13.839662	-3.100000	13.957447
2	2	1	-0.950000	13.931034	0.600000	14.377224
2	2	2	-1.450000	13.931034	0.600000	14.377224
2	2	3	0.300000	13.694915	1.700000	14.275618
2	2	4	3.550000	13.931034	-2.600000	14.175439
2	2	5	4.800000	13.694915	-1.500000	14.275618
2	2	6	5.100000	13.883162	-1.650000	14.125874
2	2	7	2.100000	13.883162	0.100000	14.175439
3	2	1	5.300000	13.600000	0.900000	12.000000
3	2	2	4.250000	13.421053	1.500000	12.289157
3	2	3	-5.650000	13.421053	-8.400000	12.592593
3	2	4	-2.100000	13.246753	-0.500000	12.289157
3	2	5	-0.450000	12.750000	1.200000	12.289157
3	2	6	1.500000	12.592593	0.700000	12.289157
4	2	1	2.850000	13.421053	0.700000	12.289157
4	2	2	0.550000	12.750000	-1.650000	12.142857
4	2	3	0.050000	12.750000	0.100000	12.592593
