#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	16364.868353	1661.906388
1	1	1	1	16483.328559	1611.017822
1	1	2	0	16930.612457	1718.289637
1	1	2	1	16503.502288	1715.077559
1	1	3	0	16308.457616	1626.934072
1	1	3	1	16319.301761	1644.136675
2	1	1	0	16356.873038	1727.211232
2	1	1	1	16529.563342	1691.168636
2	1	2	0	16345.444803	1812.835920
2	1	2	1	16171.260609	1773.714695
2	1	3	0	16237.839637	1712.856214
2	1	3	1	16478.326172	1611.800173
2	1	4	0	16356.664911	1721.363087
2	1	4	1	16484.509620	1793.615644
2	1	5	0	16409.624877	1780.510912
2	1	5	1	16278.533376	1854.449231
2	1	6	0	16339.117129	1759.352643
2	1	6	1	16314.390836	1807.495040
2	1	7	0	16457.942977	1718.301167
2	1	7	1	16996.137298	1680.723402
3	1	1	0	19504.888404	1612.581518
3	1	1	1	19161.800369	1593.374016
3	1	2	0	19091.846021	1470.532051
3	1	2	1	18845.520248	1479.903522
3	1	3	0	19295.011843	1548.026072
3	1	3	1	19747.944119	1589.636819
3	1	4	0	19050.699167	1606.834902
3	1	4	1	19296.166934	1598.484998
3	1	5	0	16580.395535	1441.024241
3	1	5	1	16520.315548	1425.729006
3	1	6	0	18495.068212	1711.864473
3	1	6	1	18625.000610	1741.399928
4	1	1	0	20265.164954	1679.232596
4	1	1	1	19253.392055	1470.208998
4	1	2	0	19251.464692	1576.959816
4	1	2	1	18958.350916	1613.140317
4	1	3	0	18994.347010	1578.229958
4	1	3	1	19573.079359	1616.945278
4	1	4	0	16828.566052	1403.704210
4	1	4	1	16902.470388	1369.899927
4	1	5	0	16709.616850	1333.547657
4	1	5	1	16473.067358	1286.180789
4	1	6	0	19614.201754	1729.428066
4	1	6	1	13416.665138	1538.543901
5	1	1	0	16712.131571	1693.231459
5	1	1	1	16565.343044	1716.302757
5	1	2	0	16969.230316	1739.208985
5	1	2	1	16421.870604	1728.459108
1	2	1	0	17087.037921	1597.553934
1	2	1	1	17030.867439	1579.273740
1	2	2	0	16810.246509	1764.846834
1	2	2	1	17015.949221	1672.961215
1	2	3	0	17128.771843	1678.764065
1	2	3	1	17004.512981	1724.211981
2	2	1	0	16484.285629	1665.644537
2	2	1	1	16390.454213	1724.860798
2	2	2	0	16358.281702	1877.938656
2	2	2	1	16199.268217	1822.869230
2	2	3	0	16393.629645	1674.020299
2	2	3	1	16724.781149	1698.281816
2	2	4	0	16938.057724	1761.393884
2	2	4	1	16934.202781	1745.922671
2	2	5	0	16314.567051	1750.113113
2	2	5	1	16479.126454	1681.602626
2	2	6	0	16612.115654	1758.686319
2	2	6	1	16746.295255	1819.309469
2	2	7	0	16753.589398	1801.336263
2	2	7	1	16695.889552	1750.245805
3	2	1	0	17008.318540	1252.092542
3	2	1	1	17307.262472	1304.862120
3	2	2	0	19126.062838	1586.902764
3	2	2	1	19580.756554	1569.715600
3	2	3	0	17163.682328	1358.946374
3	2	3	1	18506.203901	1560.244673
3	2	4	0	17187.854053	1306.511293
3	2	4	1	17128.985614	1327.998104
3	2	5	0	18911.033848	1573.739187
3	2	5	1	18300.785033	1636.618522
3	2	6	0	18743.917407	1664.094173
3	2	6	1	18660.482665	1703.117013
4	2	1	0	17627.980341	1357.986461
4	2	1	1	16500.980341	1357.986461
4	2	2	0	18748.461285	1447.161470
4	2	2	1	18680.945372	1460.383055
4	2	3	0	17029.602656	1460.064988
4	2	3	1	16676.315637	1345.943066
4	2	4	0	18537.138499	1587.438281
4	2	4	1	18482.665131	1596.311210
4	2	5	0	18446.745724	1461.925449
4	2	5	1	17384.305588	1401.958112
4	2	6	0	18405.457486	1708.665105
4	2	6	1	18373.547116	1703.191599
5	2	1	0	16170.212303	1607.203089
5	2	1	1	16410.812884	1632.879946
5	2	2	0	16568.776814	1657.635287
5	2	2	1	16729.922207	1708.887364
1	3	1	0	16989.875702	1663.838454
1	3	1	1	16872.971225	1672.041246
1	3	2	0	16934.009616	1741.112778
1	3	2	1	16943.064347	1726.444227
1	3	3	0	16838.787710	1677.556940
