#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	6674.500914	795.897549
1	1	1	1	7931.237247	933.782395
1	1	2	0	10527.553359	1256.279702
1	1	2	1	13835.474746	1565.157063
1	1	3	0	12819.615036	1565.345981
1	1	3	1	8430.346688	1079.842725
2	1	1	0	7376.626223	993.845092
2	1	1	1	7937.456978	1082.822719
2	1	2	0	7854.433726	1106.870570
2	1	2	1	7489.238998	1152.350287
2	1	3	0	3600.826449	551.070251
2	1	3	1	3759.536477	996.436629
2	1	4	0	7804.226286	1073.203338
2	1	4	1	7786.910608	1126.933245
2	1	5	0	4852.056850	657.738333
2	1	5	1	5229.538373	736.167923
2	1	6	0	7424.420077	988.455320
2	1	6	1	8079.099625	1139.312135
2	1	7	0	9786.677243	1260.312791
2	1	7	1	11185.393320	1449.423606
3	1	1	0	7577.941187	782.563884
3	1	1	1	6667.162028	715.861738
3	1	2	0	7684.457762	853.176012
3	1	2	1	5780.256308	621.385979
3	1	3	0	8995.529472	965.090224
3	1	3	1	9207.709255	994.900412
3	1	4	0	7023.323802	774.829553
3	1	4	1	6987.670467	789.017926
3	1	5	0	8557.232797	997.872570
3	1	5	1	7761.117009	877.752810
3	1	6	0	6821.501599	783.729785
3	1	6	1	6782.712773	810.746171
4	1	1	0	12030.380331	1172.621636
4	1	1	1	19226.508343	1469.967296
4	1	2	0	7300.618986	763.469628
4	1	2	1	6411.206600	673.604903
4	1	3	0	7162.376444	747.555847
4	1	3	1	6418.505987	683.776903
4	1	4	0	8218.928786	833.461056
4	1	4	1	7118.823035	728.750637
4	1	5	0	8751.789877	976.181569
4	1	5	1	8568.618861	968.016039
4	1	6	0	9377.821864	1050.138874
4	1	6	1	8418.063408	939.468307
5	1	1	0	10131.201433	1434.496190
5	1	1	1	8573.663336	1180.593499
5	1	2	0	9502.274692	1360.244329
5	1	2	1	7215.452090	1022.542792
1	2	1	0	17434.592635	1641.856650
1	2	1	1	11834.005636	2485.340386
1	2	2	0	16098.847725	1733.670421
1	2	2	1	15360.349525	1678.764852
1	2	3	0	10370.505461	1364.943091
1	2	3	1	16007.451125	1720.497010
2	2	1	0	7241.835099	996.334178
2	2	1	1	9042.449034	1347.285862
2	2	2	0	8937.665564	1301.652900
