#Sector	Layer	Component	Order	Mean	Sigma

1	1	1	0	11365.388983	1367.484033
1	1	1	1	11280.512073	1376.581236
1	1	2	0	11388.003262	1338.138886
1	1	2	1	11364.598610	1298.352888
1	1	3	0	11461.537709	1415.519882
1	1	3	1	11364.174079	1451.011086
2	1	1	0	11352.371739	1550.369089
2	1	1	1	11207.726221	1500.099930
2	1	2	0	11480.049850	1625.866232
2	1	2	1	11480.049850	1625.866232
2	1	3	0	11383.403449	1580.164392
2	1	3	1	11482.476020	1526.746263
2	1	4	0	11396.091328	1569.311974
2	1	4	1	11428.911731	1600.386885
2	1	5	0	11685.793512	1539.947883
2	1	5	1	11598.521010	1606.757268
2	1	6	0	11372.550965	1495.530439
2	1	6	1	11368.319970	1576.338073
2	1	7	0	11307.314071	1430.746038
2	1	7	1	11190.144613	1465.046018
3	1	1	0	8433.192164	871.712450
3	1	1	1	8410.426129	912.763431
3	1	2	0	8698.134837	933.391102
3	1	2	1	8731.366766	915.733059
3	1	3	0	8805.462419	970.221173
3	1	3	1	8761.674450	977.731681
3	1	4	0	8669.328469	948.609582
3	1	4	1	8559.828520	955.584578
3	1	5	0	10754.649335	1297.479521
3	1	5	1	10911.377223	1298.222941
3	1	6	0	7953.621106	934.927466
3	1	6	1	7993.249558	970.494472
4	1	1	0	8036.480697	1349.369845
4	1	1	1	10637.361193	1056.438341
4	1	2	0	8551.869398	867.478908
4	1	2	1	8627.481711	903.022033
4	1	3	0	8482.558068	923.207036
4	1	3	1	8317.913486	892.649871
4	1	4	0	10889.736725	1190.451347
4	1	4	1	10645.132624	1187.848885
4	1	5	0	11067.464522	1318.206118
4	1	5	1	10859.133409	1347.090387
4	1	6	0	9000.738902	769.719206
4	1	6	1	6367.738902	769.719206
5	1	1	0	11407.075385	1589.915422
5	1	1	1	11389.163665	1550.321327
5	1	2	0	11343.418229	1614.589076
5	1	2	1	11531.353128	1598.307245
1	2	1	0	11032.567141	1262.390385
1	2	1	1	11638.125405	1365.905022
1	2	2	0	11373.712925	1407.365256
1	2	2	1	11144.176497	1377.246097
1	2	3	0	11163.448340	1463.624773
1	2	3	1	10937.605505	1342.998981
2	2	1	0	11183.987155	1550.216747
2	2	1	1	11201.186994	1624.403056
2	2	2	0	11362.768526	1616.496384
