# BAND SETUP, Crate 66, Fadcs from 3 to 8 and 10, TDC in slot 16
# Detector - CRATE - SLOT - CHANNEL - SECTOR - LAYER - COMPONENT - ORDER
# ORDER 0=ADCL, 1=ADCR, 2=TDCL, 3=TDCR
66	16	15	4	6	4	1
66	17	0	4	1	3	1
66	17	1	4	2	3	1
66	17	2	4	3	3	1
66	17	3	4	4	3	1
66	17	4	4	5	3	1
66	17	5	4	1	4	1
66	17	6	4	2	4	1
66	17	7	4	3	4	1
66	17	8	4	4	4	1
66	17	9	4	5	4	1
66	17	10	4	1	5	1
66	17	11	4	2	5	1
66	17	12	4	3	5	1
66	17	13	4	4	5	1
66	17	14	4	5	5	1
66	17	15	4	6	5	1
66	18	0	4	1	1	0
66	18	1	4	2	1	0
66	18	2	4	3	1	0
66	18	3	4	4	1	0
66	18	4	4	5	1	0
66	18	5	4	1	2	0
66	18	6	4	2	2	0
66	18	7	4	3	2	0
66	18	8	4	4	2	0
66	18	9	4	5	2	0
66	18	10	4	1	3	0
66	18	11	4	2	3	0
66	18	12	4	3	3	0
66	18	13	4	4	3	0
66	18	14	4	5	3	0
66	18	15	4	6	6	1
66	19	0	4	1	4	0
66	19	1	4	2	4	0
66	19	2	4	3	4	0
66	19	3	4	4	4	0
66	19	4	4	5	4	0
66	19	5	4	1	5	0
66	19	6	4	2	5	0
66	19	7	4	3	5	0
66	19	8	4	4	5	0
66	19	9	4	5	5	0
66	19	10	4	1	6	0
66	19	11	4	2	6	0
66	19	12	4	3	6	0
66	19	13	4	4	6	0
66	19	14	5	6	1	0
66	19	15	5	6	2	0
66	20	0	4	1	6	1
66	20	1	4	2	6	1
66	20	2	4	3	6	1
66	20	3	4	4	6	1
66	20	4	5	1	1	1
66	20	5	5	2	1	1
66	20	6	5	3	1	1
66	20	7	5	4	1	1
66	20	8	5	1	2	1
66	20	9	5	2	2	1
66	20	10	5	3	2	1
66	20	11	5	4	2	1
66	20	12	3	6	3	0
66	20	13	3	6	4	0
66	20	14	3	6	5	0
67	6	0	1	1	1	2
67	6	1	1	2	1	2
67	6	2	1	3	1	2
67	6	3	1	4	1	2
67	6	4	1	5	1	2
67	6	5	1	1	2	2
67	6	6	1	2	2	2
67	6	7	1	3	2	2
67	6	8	1	4	2	2
67	6	9	1	5	2	2
67	6	10	1	1	3	2
67	6	11	1	2	3	2
67	6	12	1	3	3	2
67	6	13	1	4	3	2
67	6	14	1	5	3	2
67	6	15	1	6	1	2
67	6	16	2	1	1	2
67	6	17	2	2	1	2
67	6	18	2	3	1	2
67	6	19	2	4	1	2
67	6	20	2	5	1	2
67	6	21	2	1	2	2
67	6	22	2	2	2	2
67	6	23	2	3	2	2
67	6	24	2	4	2	2
67	6	25	2	5	2	2
67	6	26	2	1	3	2
67	6	27	2	2	3	2
67	6	28	2	3	3	2
67	6	29	2	4	3	2
67	6	30	2	5	3	2
67	6	31	1	6	2	2
67	6	32	2	1	4	2
67	6	33	2	2	4	2
67	6	34	2	3	4	2
67	6	35	2	4	4	2
67	6	36	2	5	4	2
67	6	37	2	1	5	2
67	6	38	2	2	5	2
67	6	39	2	3	5	2
67	6	40	2	4	5	2
67	6	41	2	5	5	2
67	6	42	2	1	6	2
67	6	43	2	2	6	2
67	6	44	2	3	6	2
67	6	45	2	4	6	2
67	6	46	2	5	6	2
67	6	47	1	6	3	2
67	6	48	2	1	7	2
67	6	49	2	2	7	2
67	6	50	2	3	7	2
67	6	51	2	4	7	2
67	6	52	2	5	7	2
67	6	53	3	1	1	2
67	6	54	3	2	1	2
67	6	55	3	3	1	2
67	6	56	3	4	1	2
67	6	57	3	5	1	2
67	6	58	3	1	2	2
67	6	59	3	2	2	2
67	6	60	3	3	2	2
67	6	61	3	4	2	2
67	6	62	3	5	2	2
67	6	63	2	6	1	2
67	6	64	3	1	3	2
67	6	65	3	2	3	2
67	6	66	3	3	3	2
67	6	67	3	4	3	2
67	6	68	3	5	3	2
67	6	69	3	1	4	2
67	6	70	3	2	4	2
67	6	71	3	3	4	2
67	6	72	3	4	4	2
67	6	73	3	5	4	2
67	6	74	3	1	5	2
67	6	75	3	2	5	2
67	6	76	3	3	5	2
67	6	77	3	4	5	2
67	6	78	3	5	5	2
67	6	79	2	6	2	2
67	6	80	3	1	1	3
67	6	81	3	2	1	3
67	6	82	3	3	1	3
67	6	83	3	4	1	3
67	6	84	3	5	1	3
67	6	85	3	1	2	3
67	6	86	3	2	2	3
67	6	87	3	3	2	3
67	6	88	3	4	2	3
67	6	89	3	5	2	3
67	6	90	3	1	3	3
67	6	91	3	2	3	3
67	6	92	3	3	3	3
67	6	93	3	4	3	3
67	6	94	3	5	3	3
67	6	95	2	6	3	2
67	6	96	3	1	4	3
67	6	97	3	2	4	3
67	6	98	3	3	4	3
67	6	99	3	4	4	3
67	6	100	3	5	4	3
67	6	101	3	1	5	3
67	6	102	3	2	5	3
67	6	103	3	3	5	3
67	6	104	3	4	5	3
67	6	105	3	5	5	3
67	6	106	3	1	6	3
67	6	107	3	2	6	3
67	6	108	3	3	6	3
67	6	109	3	4	6	3
67	6	110	2	6	4	2
67	6	111	2	6	5	2
67	6	112	3	1	6	2
67	6	113	3	2	6	2
67	6	114	3	3	6	2
67	6	115	3	4	6	2
67	6	116	5	1	1	2
67	6	117	5	2	1	2
67	6	118	5	3	1	2
67	6	119	5	4	1	2
67	6	120	5	1	2	2
67	6	121	5	2	2	2
67	6	122	5	3	2	2
67	6	123	5	4	2	2
67	6	124	2	6	6	2
67	6	125	2	6	7	2
67	6	126	3	6	1	2
67	6	127	3	6	2	2
67	16	0	1	1	1	3
67	16	1	1	2	1	3
67	16	2	1	3	1	3
67	16	3	1	4	1	3
67	16	4	1	5	1	3
67	16	5	1	1	2	3
67	16	6	1	2	2	3
67	16	7	1	3	2	3
67	16	8	1	4	2	3
67	16	9	1	5	2	3
67	16	10	1	1	3	3
67	16	11	1	2	3	3
67	16	12	1	3	3	3
67	16	13	1	4	3	3
67	16	14	1	5	3	3
67	16	15	4	6	1	3
67	16	16	2	1	1	3
67	16	17	2	2	1	3
67	16	18	2	3	1	3
67	16	19	2	4	1	3
67	16	20	2	5	1	3
67	16	21	2	1	2	3
67	16	22	2	2	2	3
67	16	23	2	3	2	3
67	16	24	2	4	2	3
67	16	25	2	5	2	3
67	16	26	2	1	3	3
67	16	27	2	2	3	3
67	16	28	2	3	3	3
67	16	29	2	4	3	3
67	16	30	2	5	3	3
67	16	31	4	6	2	3
67	16	32	2	1	4	3
67	16	33	2	2	4	3
67	16	34	2	3	4	3
67	16	35	2	4	4	3
67	16	36	2	5	4	3
67	16	37	2	1	5	3
67	16	38	2	2	5	3
67	16	39	2	3	5	3
67	16	40	2	4	5	3
67	16	41	2	5	5	3
67	16	42	2	1	6	3
67	16	43	2	2	6	3
67	16	44	2	3	6	3
67	16	45	2	4	6	3
67	16	46	2	5	6	3
67	16	47	4	6	3	3
67	16	48	2	1	7	3
67	16	49	2	2	7	3
67	16	50	2	3	7	3
67	16	51	2	4	7	3
67	16	52	2	5	7	3
67	16	53	4	1	1	3
67	16	54	4	2	1	3
67	16	55	4	3	1	3
67	16	56	4	4	1	3
67	16	57	4	5	1	3
67	16	58	4	1	2	3
67	16	59	4	2	2	3
67	16	60	4	3	2	3
67	16	61	4	4	2	3
67	16	62	4	5	2	3
67	16	63	4	6	4	3
67	16	64	4	1	3	3
67	16	65	4	2	3	3
67	16	66	4	3	3	3
67	16	67	4	4	3	3
67	16	68	4	5	3	3
67	16	69	4	1	4	3
67	16	70	4	2	4	3
67	16	71	4	3	4	3
67	16	72	4	4	4	3
67	16	73	4	5	4	3
67	16	74	4	1	5	3
67	16	75	4	2	5	3
67	16	76	4	3	5	3
67	16	77	4	4	5	3
67	16	78	4	5	5	3
67	16	79	4	6	5	3
67	16	80	4	1	1	2
67	16	81	4	2	1	2
67	16	82	4	3	1	2
67	16	83	4	4	1	2
67	16	84	4	5	1	2
67	16	85	4	1	2	2
67	16	86	4	2	2	2
67	16	87	4	3	2	2
67	16	88	4	4	2	2
67	16	89	4	5	2	2
67	16	90	4	1	3	2
67	16	91	4	2	3	2
67	16	92	4	3	3	2
67	16	93	4	4	3	2
67	16	94	4	5	3	2
67	16	95	4	6	6	3
67	16	96	4	1	4	2
67	16	97	4	2	4	2
67	16	98	4	3	4	2
67	16	99	4	4	4	2
67	16	100	4	5	4	2
67	16	101	4	1	5	2
67	16	102	4	2	5	2
67	16	103	4	3	5	2
67	16	104	4	4	5	2
67	16	105	4	5	5	2
67	16	106	4	1	6	2
67	16	107	4	2	6	2
67	16	108	4	3	6	2
67	16	109	4	4	6	2
67	16	110	5	6	1	2
67	16	111	5	6	2	2
67	16	112	4	1	6	3
67	16	113	4	2	6	3
67	16	114	4	3	6	3
67	16	115	4	4	6	3
67	16	116	5	1	1	3
67	16	117	5	2	1	3
67	16	118	5	3	1	3
67	16	119	5	4	1	3
67	16	120	5	1	2	3
67	16	121	5	2	2	3
67	16	122	5	3	2	3
67	16	123	5	4	2	3
67	16	124	3	6	3	2
67	16	125	3	6	4	2
67	16	126	3	6	5	2
