2	1	6	2.071920	0.020906
2	1	7	2.392391	0.016188
2	1	4	2.038369	0.023367
2	1	5	2.148423	0.016968
2	1	2	2.029810	0.024075
2	1	3	2.224374	0.017285
2	1	1	2.221560	0.012243
1	3	3	2.262733	0.000223
1	3	2	2.492242	0.011916
1	3	1	2.461015	0.010266
1	6	1	0.000000	0.000000
3	4	4	1.610179	0.057665
3	4	5	1.670034	0.031079
3	4	6	1.657463	0.050975
5	4	1	2.306942	0.019818
3	4	1	0.942313	0.013990
3	4	2	1.888062	0.061529
3	4	3	1.706288	0.060319
4	5	3	1.853000	0.031341
4	5	4	1.667642	0.052393
2	6	3	0.000000	0.000000
1	2	1	2.453422	0.008494
1	2	2	2.407843	0.006337
1	2	3	2.396455	0.011894
2	6	7	0.000000	0.000000
2	6	6	0.000000	0.000000
2	6	5	0.000000	0.000000
2	6	4	0.000000	0.000000
3	6	4	0.000000	0.000000
3	6	5	0.000000	0.000000
3	6	2	0.000000	0.000000
3	6	3	0.000000	0.000000
4	1	4	1.673985	0.028464
4	1	5	1.426807	0.032356
4	1	6	1.427941	0.127011
5	3	2	1.991281	0.018312
5	3	1	1.789851	0.021970
4	1	3	1.726947	0.065014
3	6	1	0.000000	0.000000
3	1	3	1.703454	0.069256
3	1	2	1.639398	0.045605
3	1	1	1.649711	0.052657
3	1	6	1.699214	0.074154
3	1	5	1.554830	0.044657
3	1	4	1.768466	0.074273
1	1	1	2.022608	0.011624
1	1	3	2.047675	0.008352
1	1	2	2.462362	0.003747
5	2	1	1.701893	0.022213
5	2	2	1.857154	0.016310
4	2	1	1.693089	0.056934
4	2	3	1.517626	0.039956
4	2	2	1.729869	0.069580
4	2	5	1.655326	0.052747
4	2	4	1.612866	0.072214
4	2	6	1.700066	0.082344
4	1	2	1.754866	0.050065
4	4	3	1.762830	0.069942
4	4	2	1.237237	0.021689
4	4	1	1.782246	0.047449
4	4	6	1.524054	0.046656
4	4	5	1.619146	0.071440
4	4	4	1.642014	0.045952
2	4	5	2.344101	0.020477
2	4	4	1.990367	0.020809
2	4	7	2.398557	0.013781
2	4	6	2.032748	0.021687
2	4	1	2.056274	0.016377
2	4	3	2.445592	0.016074
2	4	2	2.306422	0.022742
4	1	1	1.572792	0.126418
4	3	6	1.638307	0.037551
4	3	4	1.856332	0.046532
4	3	5	1.857048	0.063420
4	3	2	0.986013	0.011799
4	3	3	1.691998	0.050897
4	3	1	1.628554	0.080415
3	3	5	1.409077	0.058691
3	3	4	1.670807	0.049400
4	5	2	1.925677	0.034610
3	3	6	1.462860	0.117153
3	3	1	1.720015	0.085625
4	5	5	1.763547	0.029960
3	3	3	1.735447	0.073429
3	3	2	1.692418	0.054108
2	5	2	2.235471	0.035237
2	5	3	2.270480	0.020095
2	5	1	2.722132	0.022585
2	5	6	2.451811	0.013186
2	5	7	1.905246	0.014401
2	5	4	2.439548	0.018499
2	5	5	2.542316	0.012265
5	4	2	1.771025	0.017731
1	6	2	0.000000	0.000000
4	6	5	0.000000	0.000000
4	6	4	0.000000	0.000000
5	6	2	0.000000	0.000000
4	6	6	0.000000	0.000000
4	6	1	0.000000	0.000000
4	6	3	0.000000	0.000000
4	6	2	0.000000	0.000000
2	2	7	1.981877	0.015704
2	2	6	2.120167	0.018378
2	2	5	1.992557	0.022469
2	2	4	2.145697	0.025744
2	2	3	1.729049	0.023838
2	2	2	1.998077	0.028374
2	2	1	2.086906	0.018749
1	6	3	0.000000	0.000000
3	6	6	0.000000	0.000000
1	5	1	2.324020	0.012427
1	5	3	2.459728	0.003654
1	5	2	2.531130	0.006696
5	6	1	0.000000	0.000000
2	3	4	2.136871	0.021164
2	3	5	2.322497	0.011703
2	3	6	2.099813	0.020660
2	3	7	2.033288	0.018974
2	3	1	2.033696	0.021905
2	3	2	2.138795	0.031659
2	3	3	2.173655	0.016290
3	2	2	1.647606	0.075195
3	2	3	1.557317	0.072688
3	2	1	1.502156	0.032725
3	2	6	1.657434	0.060260
3	2	4	1.494205	0.057809
3	2	5	1.679526	0.070796
1	4	2	2.509301	0.011540
1	4	3	2.469939	0.016443
1	4	1	2.467778	0.003847
5	1	1	2.034308	0.017250
5	1	2	1.813296	0.019047
2	6	2	0.000000	0.000000
4	5	1	1.858199	0.026156
2	6	1	0.000000	0.000000
3	5	5	1.848409	0.024769
3	5	4	1.840536	0.047076
3	5	3	1.869536	0.031569
3	5	2	1.836619	0.030891
3	5	1	1.814541	0.033662
