#Sector	Layer	Component	Attenuation
1	1	1	2.060715
1	1	2	2.494647
1	1	3	2.114225
2	1	1	2.278329
2	1	2	2.124662
2	1	3	2.274639
2	1	4	2.098903
2	1	5	2.198642
2	1	6	2.129929
2	1	7	2.452112
3	1	1	1.529634
3	1	2	1.480339
3	1	3	1.530800
3	1	4	1.591001
3	1	5	1.422364
3	1	6	1.548496
4	1	1	1.332420
4	1	2	1.623040
4	1	3	1.574005
4	1	4	1.538523
4	1	5	1.332102
4	1	6	1.276884
5	1	1	2.090558
5	1	2	1.882655
1	2	1	2.471284
1	2	2	2.447928
1	2	3	2.416881
2	2	1	2.160417
2	2	2	2.094879
2	2	3	1.800260
2	2	4	2.241513
2	2	5	2.070723
2	2	6	2.194956
2	2	7	2.063392
3	2	1	1.390683
3	2	2	1.480545
3	2	3	1.397312
3	2	4	1.377095
3	2	5	1.557493
3	2	6	1.552662
4	2	1	1.573158
4	2	2	1.550377
4	2	3	1.448039
4	2	4	1.485400
4	2	5	1.538968
4	2	6	1.534914
5	2	1	1.788092
5	2	2	1.935423
1	3	1	2.495362
1	3	2	2.523380
1	3	3	2.307394
2	3	1	2.100628
2	3	2	2.263688
2	3	3	2.241755
2	3	4	2.234860
2	3	5	2.396959
2	3	6	2.175499
2	3	7	2.118716
3	3	1	1.558116
3	3	2	1.528199
3	3	3	1.570196
3	3	4	1.479526
3	3	5	1.279277
3	3	6	1.262438
4	3	1	1.425234
4	3	2	1.027698
4	3	3	1.523457
4	3	4	1.698880
4	3	5	1.636815
4	3	6	1.508547
5	3	1	1.875295
5	3	2	2.049018
1	4	1	2.489590
1	4	2	2.556904
1	4	3	2.493184
2	4	1	2.132102
2	4	2	2.414964
2	4	3	2.516398
2	4	4	2.078635
2	4	5	2.437660
2	4	6	2.117834
2	4	7	2.433873
3	4	1	0.971811
3	4	2	1.679998
3	4	3	1.560404
3	4	4	1.453721
3	4	5	1.555644
3	4	6	1.511418
4	4	1	1.607912
4	4	2	1.176123
4	4	3	1.590828
4	4	4	1.494949
4	4	5	1.415281
4	4	6	1.411912
5	4	1	2.369638
5	4	2	1.848393
1	5	1	2.330647
1	5	2	2.555788
1	5	3	2.498149
2	5	1	2.759776
2	5	2	2.338117
2	5	3	2.342140
2	5	4	2.500817
2	5	5	2.593758
2	5	6	2.497209
2	5	7	1.949419
3	5	1	1.730051
3	5	2	1.751795
3	5	3	1.795204
3	5	4	1.728927
3	5	5	1.737853
4	5	1	1.735841
4	5	2	1.820451
4	5	3	1.748370
4	5	4	1.548844
4	5	5	1.612093
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
