#Sector	Layer	Component	Attenuation
1	1	1	2.019008
1	1	2	2.460981
1	1	3	2.051432
2	1	1	2.195320
2	1	2	1.985751
2	1	3	2.196902
2	1	4	1.998440
2	1	5	2.118742
2	1	6	2.035349
2	1	7	2.353672
3	1	1	1.803376
3	1	2	1.769630
3	1	3	1.828134
3	1	4	1.883046
3	1	5	1.611749
3	1	6	1.828167
4	1	1	1.788029
4	1	2	1.906121
4	1	3	1.885106
4	1	4	1.781567
4	1	5	1.523025
4	1	6	1.617370
5	1	1	1.994510
5	1	2	1.779549
1	2	1	2.453456
1	2	2	2.406689
1	2	3	2.370852
2	2	1	2.057637
2	2	2	1.957362
2	2	3	1.690014
2	2	4	2.113392
2	2	5	1.948779
2	2	6	2.080897
2	2	7	1.945285
3	2	1	1.575853
3	2	2	1.830088
3	2	3	1.700403
3	2	4	1.603233
3	2	5	1.804711
3	2	6	1.753889
4	2	1	1.787069
4	2	2	1.900954
4	2	3	1.582013
4	2	4	1.743558
4	2	5	1.728651
4	2	6	1.824585
5	2	1	1.656624
5	2	2	1.816621
1	3	1	2.465522
1	3	2	2.500451
1	3	3	2.247625
2	3	1	2.002024
2	3	2	2.082245
2	3	3	2.149374
2	3	4	2.094944
2	3	5	2.296309
2	3	6	2.056481
2	3	7	1.986066
3	3	1	1.908179
3	3	2	1.862439
3	3	3	1.856211
3	3	4	1.816152
3	3	5	1.554598
3	3	6	1.720808
4	3	1	1.764509
4	3	2	0.965422
4	3	3	1.806074
4	3	4	1.932664
4	3	5	1.951190
4	3	6	1.735016
5	3	1	1.751633
5	3	2	1.967968
1	4	1	2.460057
1	4	2	2.521047
1	4	3	2.472543
2	4	1	2.020055
2	4	2	2.263177
2	4	3	2.420847
2	4	4	1.950936
2	4	5	2.309530
2	4	6	1.990607
2	4	7	2.368624
3	4	1	0.930592
3	4	2	2.000708
3	4	3	1.816994
3	4	4	1.720495
3	4	5	1.762184
3	4	6	1.750324
4	4	1	1.887910
4	4	2	1.287079
4	4	3	1.865638
4	4	4	1.744398
4	4	5	1.776864
4	4	6	1.633081
5	4	1	2.291636
5	4	2	1.741620
1	5	1	2.313554
1	5	2	2.516406
1	5	3	2.443899
2	5	1	2.691211
2	5	2	2.174155
2	5	3	2.235863
2	5	4	2.411850
2	5	5	2.512237
2	5	6	2.420386
2	5	7	1.872634
3	5	1	1.892644
3	5	2	1.906094
3	5	3	1.954780
3	5	4	1.921327
3	5	5	1.892856
4	5	1	1.917638
4	5	2	1.984452
4	5	3	1.878799
4	5	4	1.722955
4	5	5	1.788855
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
