#Sector	Layer	Component	Attenuation
1	1	1	2.108692
1	1	2	2.519545
1	1	3	2.129024
2	1	1	2.340529
2	1	2	2.228735
2	1	3	2.336560
2	1	4	2.185272
2	1	5	2.253553
2	1	6	2.191074
2	1	7	2.520254
3	1	1	1.462667
3	1	2	1.419191
3	1	3	1.472623
3	1	4	1.488717
3	1	5	1.391799
3	1	6	1.471686
4	1	1	1.171401
4	1	2	1.561131
4	1	3	1.557657
4	1	4	1.511252
4	1	5	1.266140
4	1	6	1.023548
5	1	1	2.172985
5	1	2	1.952208
1	2	1	2.533450
1	2	2	2.473537
1	2	3	2.476521
2	2	1	2.217684
2	2	2	2.196796
2	2	3	1.867599
2	2	4	2.317976
2	2	5	2.146748
2	2	6	2.258552
2	2	7	2.149878
3	2	1	1.332313
3	2	2	1.423344
3	2	3	1.261473
3	2	4	1.294246
3	2	5	1.481160
3	2	6	1.461000
4	2	1	1.474991
4	2	2	1.457129
4	2	3	1.363463
4	2	4	1.400323
4	2	5	1.450138
4	2	6	1.441628
5	2	1	1.860920
5	2	2	2.026604
1	3	1	2.543972
1	3	2	2.547583
1	3	3	2.324439
2	3	1	2.171781
2	3	2	2.383594
2	3	3	2.328061
2	3	4	2.337357
2	3	5	2.456818
2	3	6	2.269878
2	3	7	2.208906
3	3	1	1.457676
3	3	2	1.434298
3	3	3	1.434375
3	3	4	1.415421
3	3	5	1.250493
3	3	6	1.236653
4	3	1	1.333478
4	3	2	1.032966
4	3	3	1.416445
4	3	4	1.582551
4	3	5	1.551111
4	3	6	1.413231
5	3	1	1.956602
5	3	2	2.158175
1	4	1	2.539246
1	4	2	2.560216
1	4	3	2.557612
2	4	1	2.210076
2	4	2	2.543033
2	4	3	2.591959
2	4	4	2.152605
2	4	5	2.519917
2	4	6	2.197220
2	4	7	2.520006
3	4	1	0.980675
3	4	2	1.568331
3	4	3	1.459400
3	4	4	1.361128
3	4	5	1.490536
3	4	6	1.417649
4	4	1	1.486487
4	4	2	1.184543
4	4	3	1.493435
4	4	4	1.457992
4	4	5	1.332574
4	4	6	1.341260
5	4	1	2.423028
5	4	2	1.917217
1	5	1	2.417533
1	5	2	2.611935
1	5	3	2.555193
2	5	1	2.845857
2	5	2	2.483433
2	5	3	2.430918
2	5	4	2.600970
2	5	5	2.659613
2	5	6	2.582157
2	5	7	0.000000
3	5	1	1.637808
3	5	2	1.647719
3	5	3	1.661878
3	5	4	1.669646
3	5	5	1.666509
4	5	1	1.647435
4	5	2	1.772214
4	5	3	1.728876
4	5	4	1.519569
4	5	5	1.664383
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
