#Sector	Layer	Component	Attenuation
1	1	1	2.064530
1	1	2	2.572528
1	1	3	2.116604
2	1	1	2.212962
2	1	2	2.035435
2	1	3	2.209592
2	1	4	2.045024
2	1	5	2.176884
2	1	6	2.074571
2	1	7	2.421696
3	1	1	1.687185
3	1	2	1.515017
3	1	3	1.710228
3	1	4	1.780886
3	1	5	1.543165
3	1	6	1.701914
4	1	1	1.608738
4	1	2	1.765129
4	1	3	1.629096
4	1	4	1.653098
4	1	5	1.427209
4	1	6	1.652792
5	1	1	2.041240
5	1	2	1.820726
1	2	1	2.545316
1	2	2	2.460185
1	2	3	2.391990
2	2	1	2.080156
2	2	2	1.967768
2	2	3	1.726105
2	2	4	2.128660
2	2	5	1.993270
2	2	6	2.151699
2	2	7	2.014200
3	2	1	1.303721
3	2	2	1.537541
3	2	3	1.554100
3	2	4	1.457549
3	2	5	1.600111
3	2	6	1.485104
4	2	1	1.716698
4	2	2	1.760708
4	2	3	1.488811
4	2	4	1.474273
4	2	5	1.637161
4	2	6	1.606494
5	2	1	1.708719
5	2	2	1.867862
1	3	1	2.482183
1	3	2	2.508801
1	3	3	2.264194
2	3	1	2.058886
2	3	2	2.163631
2	3	3	2.222981
2	3	4	2.150589
2	3	5	2.328342
2	3	6	2.095479
2	3	7	2.028326
3	3	1	1.674114
3	3	2	1.673176
3	3	3	1.697317
3	3	4	1.666916
3	3	5	1.465603
3	3	6	1.593188
4	3	1	1.767983
4	3	2	1.074156
4	3	3	1.726617
4	3	4	1.768357
4	3	5	1.883415
4	3	6	1.646524
5	3	1	1.812218
5	3	2	2.009839
1	4	1	2.466698
1	4	2	2.490570
1	4	3	2.446308
2	4	1	2.051094
2	4	2	2.306354
2	4	3	2.490336
2	4	4	2.032469
2	4	5	2.408285
2	4	6	2.070940
2	4	7	2.587016
3	4	1	0.903753
3	4	2	1.789799
3	4	3	1.623681
3	4	4	1.592961
3	4	5	1.677551
3	4	6	1.552366
4	4	1	1.718276
4	4	2	1.224955
4	4	3	1.702209
4	4	4	1.625533
4	4	5	1.647557
4	4	6	1.630782
5	4	1	2.325528
5	4	2	1.801533
1	5	1	2.305295
1	5	2	2.488754
1	5	3	2.457929
2	5	1	2.712205
2	5	2	2.230551
2	5	3	2.285777
2	5	4	2.388358
2	5	5	2.496693
2	5	6	2.435777
2	5	7	1.913400
3	5	1	1.886279
3	5	2	1.984807
3	5	3	1.829523
3	5	4	1.832485
3	5	5	1.887196
4	5	1	1.888231
4	5	2	1.993927
4	5	3	1.840439
4	5	4	1.725356
4	5	5	1.747045
1	6	1	Infinity
1	6	2	Infinity
1	6	3	Infinity
2	6	1	Infinity
2	6	2	Infinity
2	6	3	Infinity
2	6	4	Infinity
2	6	5	Infinity
2	6	6	Infinity
2	6	7	Infinity
3	6	1	Infinity
3	6	2	Infinity
3	6	3	Infinity
3	6	4	Infinity
3	6	5	Infinity
3	6	6	Infinity
4	6	1	Infinity
4	6	2	Infinity
4	6	3	Infinity
4	6	4	Infinity
4	6	5	Infinity
4	6	6	Infinity
5	6	1	Infinity
5	6	2	Infinity
