#Sector	Layer	Component	Attenuation
1	1	1	2.113262
1	1	2	2.541992
1	1	3	0.000000
2	1	1	2.360145
2	1	2	2.238684
2	1	3	2.350991
2	1	4	2.193216
2	1	5	0.000000
2	1	6	2.190092
2	1	7	2.526739
3	1	1	1.347498
3	1	2	1.231995
3	1	3	1.463622
3	1	4	1.482526
3	1	5	1.376426
3	1	6	1.477445
4	1	1	0.967459
4	1	2	1.529667
4	1	3	1.454905
4	1	4	1.456857
4	1	5	1.258571
4	1	6	1.009868
5	1	1	2.169392
5	1	2	1.950715
1	2	1	2.503963
1	2	2	2.480291
1	2	3	2.468263
2	2	1	2.215915
2	2	2	2.192347
2	2	3	1.869100
2	2	4	2.310006
2	2	5	2.150252
2	2	6	2.255143
2	2	7	2.134597
3	2	1	1.294286
3	2	2	1.389072
3	2	3	1.247122
3	2	4	1.297825
3	2	5	1.486028
3	2	6	1.447327
4	2	1	1.427420
4	2	2	1.449643
4	2	3	1.391375
4	2	4	1.411073
4	2	5	1.453995
4	2	6	1.449700
5	2	1	1.853154
5	2	2	2.013391
1	3	1	2.556850
1	3	2	2.569933
1	3	3	2.357626
2	3	1	2.174027
2	3	2	2.371572
2	3	3	2.319217
2	3	4	2.317559
2	3	5	2.473705
2	3	6	2.267171
2	3	7	2.187351
3	3	1	1.452247
3	3	2	1.480277
3	3	3	1.420910
3	3	4	1.405170
3	3	5	1.245660
3	3	6	1.281200
4	3	1	1.330926
4	3	2	1.029485
4	3	3	1.423380
4	3	4	1.599877
4	3	5	1.527732
4	3	6	1.404123
5	3	1	1.955859
5	3	2	2.147225
1	4	1	2.529526
1	4	2	2.591679
1	4	3	2.542559
2	4	1	2.196753
2	4	2	2.513088
2	4	3	2.578759
2	4	4	2.167036
2	4	5	2.510367
2	4	6	2.183224
2	4	7	2.504910
3	4	1	0.984261
3	4	2	1.593394
3	4	3	1.459082
3	4	4	1.371951
3	4	5	1.479692
3	4	6	1.421080
4	4	1	1.490553
4	4	2	1.153634
4	4	3	1.446835
4	4	4	1.417329
4	4	5	1.345023
4	4	6	1.329859
5	4	1	2.444180
5	4	2	1.941276
1	5	1	2.425976
1	5	2	2.629636
1	5	3	2.537367
2	5	1	2.844800
2	5	2	2.491293
2	5	3	2.429075
2	5	4	2.595496
2	5	5	2.656580
2	5	6	2.587879
2	5	7	0.000000
3	5	1	1.657418
3	5	2	1.715087
3	5	3	1.707050
3	5	4	1.642643
3	5	5	1.653916
4	5	1	1.648900
4	5	2	1.761142
4	5	3	1.663600
4	5	4	1.524091
4	5	5	1.605681
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
