#Sector	Layer	Component	Attenuation
1	1	1	2.011908
1	1	2	2.468838
1	1	3	2.054351
2	1	1	2.187115
2	1	2	1.974835
2	1	3	2.190061
2	1	4	1.994207
2	1	5	2.116297
2	1	6	2.017681
2	1	7	2.344817
3	1	1	1.902429
3	1	2	1.849327
3	1	3	1.835801
3	1	4	1.950848
3	1	5	1.645234
3	1	6	1.867109
4	1	1	1.809784
4	1	2	1.959632
4	1	3	1.924515
4	1	4	1.799562
4	1	5	1.553379
4	1	6	1.876417
5	1	1	1.980145
5	1	2	1.781580
1	2	1	2.462547
1	2	2	2.413616
1	2	3	2.388855
2	2	1	2.055795
2	2	2	1.942470
2	2	3	1.680652
2	2	4	2.115710
2	2	5	1.957629
2	2	6	2.083019
2	2	7	1.937204
3	2	1	1.563892
3	2	2	1.877258
3	2	3	1.725283
3	2	4	1.635680
3	2	5	1.860566
3	2	6	1.782439
4	2	1	1.819003
4	2	2	1.928885
4	2	3	1.607817
4	2	4	1.778169
4	2	5	1.789231
4	2	6	1.850956
5	2	1	1.649828
5	2	2	1.814972
1	3	1	2.460525
1	3	2	2.489077
1	3	3	2.259461
2	3	1	2.003080
2	3	2	2.075376
2	3	3	2.145361
2	3	4	2.099814
2	3	5	2.305166
2	3	6	2.056452
2	3	7	1.985974
3	3	1	1.952854
3	3	2	1.902951
3	3	3	1.895973
3	3	4	1.850137
3	3	5	1.595890
3	3	6	1.772482
4	3	1	1.800547
4	3	2	0.964368
4	3	3	1.810177
4	3	4	1.958004
4	3	5	1.996755
4	3	6	1.754366
5	3	1	1.754329
5	3	2	1.965883
1	4	1	2.464234
1	4	2	2.505522
1	4	3	2.460264
2	4	1	2.025903
2	4	2	2.257317
2	4	3	2.420219
2	4	4	1.946741
2	4	5	2.303599
2	4	6	1.977121
2	4	7	2.356383
3	4	1	0.937332
3	4	2	2.016723
3	4	3	1.832298
3	4	4	1.774029
3	4	5	1.780056
3	4	6	1.786867
4	4	1	1.934852
4	4	2	1.281375
4	4	3	1.870884
4	4	4	1.763360
4	4	5	1.772570
4	4	6	1.649465
5	4	1	2.284945
5	4	2	1.719146
1	5	1	2.339557
1	5	2	2.539391
1	5	3	2.481221
2	5	1	2.715926
2	5	2	2.176423
2	5	3	2.244013
2	5	4	2.416811
2	5	5	2.510724
2	5	6	2.418806
2	5	7	1.868646
3	5	1	1.879283
3	5	2	1.940881
3	5	3	1.990078
3	5	4	1.924810
3	5	5	1.904342
4	5	1	1.966408
4	5	2	2.016067
4	5	3	1.929068
4	5	4	1.745996
4	5	5	1.819352
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
