#Sector	Layer	Component	Attenuation
1	1	1	2.073024
1	1	2	2.488930
1	1	3	0.000000
2	1	1	2.287180
2	1	2	2.126369
2	1	3	2.283038
2	1	4	2.104878
2	1	5	0.000000
2	1	6	2.122507
2	1	7	2.446171
3	1	1	1.537954
3	1	2	1.511371
3	1	3	1.520494
3	1	4	1.577629
3	1	5	1.442973
3	1	6	1.546708
4	1	1	1.304373
4	1	2	1.615382
4	1	3	1.588526
4	1	4	1.562332
4	1	5	1.333628
4	1	6	1.246617
5	1	1	2.097825
5	1	2	1.872124
1	2	1	2.502278
1	2	2	2.467783
1	2	3	2.431610
2	2	1	2.150473
2	2	2	2.090790
2	2	3	1.810377
2	2	4	2.222216
2	2	5	2.058904
2	2	6	2.183103
2	2	7	2.059221
3	2	1	1.402908
3	2	2	1.472863
3	2	3	1.364077
3	2	4	1.376682
3	2	5	1.558525
3	2	6	1.535714
4	2	1	1.543034
4	2	2	1.559249
4	2	3	1.449123
4	2	4	1.492639
4	2	5	1.520450
4	2	6	1.526643
5	2	1	1.780803
5	2	2	1.930053
1	3	1	2.489940
1	3	2	2.531736
1	3	3	2.292143
2	3	1	2.107500
2	3	2	2.246578
2	3	3	2.241108
2	3	4	2.224220
2	3	5	2.394273
2	3	6	2.169666
2	3	7	2.123470
3	3	1	1.543508
3	3	2	1.570395
3	3	3	1.554765
3	3	4	1.522418
3	3	5	1.263155
3	3	6	1.248648
4	3	1	1.419828
4	3	2	1.018973
4	3	3	1.537626
4	3	4	1.693918
4	3	5	1.649967
4	3	6	1.506551
5	3	1	1.865762
5	3	2	2.064639
1	4	1	2.484786
1	4	2	2.545205
1	4	3	2.483206
2	4	1	2.132103
2	4	2	2.421510
2	4	3	2.518626
2	4	4	2.079847
2	4	5	2.429654
2	4	6	2.100162
2	4	7	2.443183
3	4	1	0.964819
3	4	2	1.714784
3	4	3	1.551784
3	4	4	1.438036
3	4	5	1.554622
3	4	6	1.528547
4	4	1	1.581596
4	4	2	1.178466
4	4	3	1.557469
4	4	4	1.484621
4	4	5	1.434932
4	4	6	1.380102
5	4	1	2.347227
5	4	2	1.847289
1	5	1	2.355622
1	5	2	2.545251
1	5	3	2.495798
2	5	1	2.758883
2	5	2	2.354092
2	5	3	2.355544
2	5	4	2.521078
2	5	5	2.608729
2	5	6	2.526277
2	5	7	1.950618
3	5	1	1.715185
3	5	2	1.761841
3	5	3	1.779185
3	5	4	1.729788
3	5	5	1.727678
4	5	1	1.737673
4	5	2	1.804835
4	5	3	1.736394
4	5	4	1.557499
4	5	5	1.641992
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
