#Sector	Layer	Component	Attenuation
1	1	1	2.037876
1	1	2	2.467646
1	1	3	2.056784
2	1	1	2.238544
2	1	2	2.062068
2	1	3	2.248354
2	1	4	2.068491
2	1	5	2.171656
2	1	6	2.096024
2	1	7	2.412112
3	1	1	1.580582
3	1	2	1.576350
3	1	3	1.615606
3	1	4	1.674326
3	1	5	1.496568
3	1	6	1.607220
4	1	1	1.407059
4	1	2	1.695861
4	1	3	1.640547
4	1	4	1.643012
4	1	5	1.381570
4	1	6	1.431892
5	1	1	2.054770
5	1	2	1.832185
1	2	1	2.462429
1	2	2	2.411258
1	2	3	2.413101
2	2	1	2.113411
2	2	2	2.037837
2	2	3	1.762403
2	2	4	2.180571
2	2	5	2.024281
2	2	6	2.146087
2	2	7	2.002120
3	2	1	1.456995
3	2	2	1.567425
3	2	3	1.465470
3	2	4	1.417717
3	2	5	1.608658
3	2	6	1.585086
4	2	1	1.621973
4	2	2	1.652227
4	2	3	1.466002
4	2	4	1.521097
4	2	5	1.586993
4	2	6	1.598639
5	2	1	1.727536
5	2	2	1.872459
1	3	1	2.450301
1	3	2	2.477888
1	3	3	2.262468
2	3	1	2.062411
2	3	2	2.178208
2	3	3	2.191314
2	3	4	2.159298
2	3	5	2.335233
2	3	6	2.122301
2	3	7	2.050834
3	3	1	1.612266
3	3	2	1.624355
3	3	3	1.643862
3	3	4	1.603678
3	3	5	1.339040
3	3	6	1.318856
4	3	1	1.528727
4	3	2	0.996188
4	3	3	1.621720
4	3	4	1.793147
4	3	5	1.775980
4	3	6	1.594833
5	3	1	1.817709
5	3	2	2.014290
1	4	1	2.464873
1	4	2	2.510986
1	4	3	2.468929
2	4	1	2.074397
2	4	2	2.332210
2	4	3	2.463356
2	4	4	2.014640
2	4	5	2.366041
2	4	6	2.061136
2	4	7	2.408658
3	4	1	0.958510
3	4	2	1.816413
3	4	3	1.625710
3	4	4	1.540344
3	4	5	1.630604
3	4	6	1.595620
4	4	1	1.724202
4	4	2	1.206630
4	4	3	1.669451
4	4	4	1.585689
4	4	5	1.539596
4	4	6	1.462693
5	4	1	2.334076
5	4	2	1.795348
1	5	1	2.341059
1	5	2	2.533310
1	5	3	2.457941
2	5	1	2.751912
2	5	2	2.281196
2	5	3	2.298505
2	5	4	2.465452
2	5	5	2.555521
2	5	6	2.468829
2	5	7	1.922263
3	5	1	1.767284
3	5	2	1.796884
3	5	3	1.829359
3	5	4	1.803975
3	5	5	1.823121
4	5	1	1.831861
4	5	2	1.876944
4	5	3	1.815709
4	5	4	1.594105
4	5	5	1.723740
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
