#Sector	Layer	Component	Attenuation
1	1	1	2.009696
1	1	2	2.459374
1	1	3	2.049634
2	1	1	2.215982
2	1	2	2.023114
2	1	3	2.216493
2	1	4	2.035080
2	1	5	2.142008
2	1	6	2.074695
2	1	7	2.392598
3	1	1	1.660294
3	1	2	1.659157
3	1	3	1.709873
3	1	4	1.775187
3	1	5	1.562853
3	1	6	1.701608
4	1	1	1.597590
4	1	2	1.750476
4	1	3	1.742917
4	1	4	1.667205
4	1	5	1.443460
4	1	6	1.581483
5	1	1	2.035581
5	1	2	1.820482
1	2	1	2.442036
1	2	2	2.413310
1	2	3	2.390229
2	2	1	2.074258
2	2	2	1.982880
2	2	3	1.716619
2	2	4	2.137312
2	2	5	1.978261
2	2	6	2.108865
2	2	7	1.979668
3	2	1	1.515975
3	2	2	1.627202
3	2	3	1.563259
3	2	4	1.507449
3	2	5	1.653712
3	2	6	1.654605
4	2	1	1.695949
4	2	2	1.716335
4	2	3	1.523539
4	2	4	1.619940
4	2	5	1.663581
4	2	6	1.701231
5	2	1	1.704787
5	2	2	1.864445
1	3	1	2.474856
1	3	2	2.507065
1	3	3	2.262717
2	3	1	2.029404
2	3	2	2.137483
2	3	3	2.177639
2	3	4	2.142824
2	3	5	2.325282
2	3	6	2.104722
2	3	7	2.042097
3	3	1	1.726037
3	3	2	1.696167
3	3	3	1.738850
3	3	4	1.687616
3	3	5	1.405519
3	3	6	1.463909
4	3	1	1.631290
4	3	2	0.992379
4	3	3	1.713666
4	3	4	1.871999
4	3	5	1.864354
4	3	6	1.633630
5	3	1	1.787838
5	3	2	1.990068
1	4	1	2.473215
1	4	2	2.522516
1	4	3	2.490563
2	4	1	2.059702
2	4	2	2.310172
2	4	3	2.448994
2	4	4	1.992639
2	4	5	2.349501
2	4	6	2.028607
2	4	7	2.407940
3	4	1	0.944054
3	4	2	1.881124
3	4	3	1.722329
3	4	4	1.608624
3	4	5	1.672933
3	4	6	1.656303
4	4	1	1.782109
4	4	2	1.250792
4	4	3	1.781268
4	4	4	1.642106
4	4	5	1.604981
4	4	6	1.533730
5	4	1	2.299452
5	4	2	1.764142
1	5	1	2.319229
1	5	2	2.538021
1	5	3	2.464821
2	5	1	2.717240
2	5	2	2.229767
2	5	3	2.260551
2	5	4	2.429771
2	5	5	2.545454
2	5	6	2.449907
2	5	7	1.906427
3	5	1	1.843145
3	5	2	1.840761
3	5	3	1.872764
3	5	4	1.810633
3	5	5	1.840063
4	5	1	1.848875
4	5	2	1.946087
4	5	3	1.850899
4	5	4	1.696555
4	5	5	1.770883
1	6	1	0.000000
1	6	2	0.000000
1	6	3	0.000000
2	6	1	0.000000
2	6	2	0.000000
2	6	3	0.000000
2	6	4	0.000000
2	6	5	0.000000
2	6	6	0.000000
2	6	7	0.000000
3	6	1	0.000000
3	6	2	0.000000
3	6	3	0.000000
3	6	4	0.000000
3	6	5	0.000000
3	6	6	0.000000
4	6	1	0.000000
4	6	2	0.000000
4	6	3	0.000000
4	6	4	0.000000
4	6	5	0.000000
4	6	6	0.000000
5	6	1	0.000000
5	6	2	0.000000
