HV	Sector	Layer	Component	Left Mean	Left Sigma	Right Mean	Right Sigma
1.1	2	4	7	4805.35	726.225	2.4	2.4
1.1	3	4	1	4716.565	563.648	6401.546	753.794
1.1	3	4	2	7391.668	893.248	17360.626	1558.116
1.1	3	4	3	6078.09	913.597	4867.527	796.296
1.1	3	4	4	1226.276	207.672	3037.271	460.855
1.1	3	4	5	1191.022	163.273	992.818	157.966
1.1	3	4	6	1884.964	232.288	1504.684	294.434
1.1	4	4	1	18536.851	1222.792	2.4	2.4
1.1	4	4	2	9552.59	1132.608	2.4	2.4
1.1	4	4	3	2.4	2.4	6189.999	863.8
1.1	4	4	4	6006.376	760.058	5425.466	704.524
1.1	4	4	5	20000	2.4	4020.012	515.439
1.1	4	4	6	1152.074	205.354	2.4	2.4
1.2	2	4	7	8669.631	1313.773	2.4	2.4
1.2	3	4	1	10829.79	865.713	14619.492	483.852
1.2	3	4	2	17877.29	1507.25	38000	2.4
1.2	3	4	3	14053.14	1480.198	11653.323	1486.773
1.2	3	4	4	2500	749.148	6698.031	954.837
1.2	3	4	5	2553.128	334.67	2183.131	288.279
1.2	3	4	6	4073.619	533.785	3254.118	431.449
1.2	4	4	1	37500	2.4	2.4	2.4
1.2	4	4	2	20906.045	1409.419	2.4	2.4
1.2	4	4	3	2.4	2.4	14368.339	1393.83
1.2	4	4	4	13313.994	1437.76	12357.533	1313.048
1.2	4	4	5	37000	2.4	9259.989	1161.726
1.2	4	4	6	2500	736.086	2.4	2.4
1.3	2	4	7	14684.553	1754.982	2.4	2.4
1.3	3	4	1	22000	2.4	26000	2.4
1.3	3	4	2	37000	2.4	56000	2.4
1.3	3	4	3	30000	2.4	26000	2.4
1.3	3	4	4	5567.081	850.264	13992.684	1449.866
1.3	3	4	5	5125.311	680.71	4393.142	593.209
1.3	3	4	6	8269.156	985.228	6573.538	833.324
1.3	4	4	1	53000	2.4	2.4	2.4
1.3	4	4	2	40000	2.4	2.4	2.4
1.3	4	4	3	2.4	2.4	31000	2.4
1.3	4	4	4	28000	2.4	26000	2.4
1.3	4	4	5	52000	2.4	20000	2.4
1.3	4	4	6	4658.689	541.284	2.4	2.4
