HV	Sector	Layer	Component	Left Mean	Left Sigma	Right Mean	Right Sigma
1.1	3	3	1	19745.769	1138.691	19745.769	1138.691
1.1	3	3	2	33000	2.4	21000	2.4
1.1	3	3	3	19730.437	1423.307	4773.343	692.429
1.1	3	3	4	16463.87	1465.385	9512.554	1100.695
1.1	3	3	5	1362.17	512.475	1306.68	484.919
1.1	3	3	6	2.4	2.4	12000	2.4
1.1	4	3	1	9000	2.4	2.4	2.4
1.1	4	3	2	4583.49	628.085	2.4	2.4
1.1	4	3	3	2.4	2.4	4012.426	558.138
1.1	4	3	4	5715.226	762.622	2.4	2.4
1.1	4	3	5	26000	2.4	2.4	2.4
1.1	4	3	6	11000	2.4	2.4	2.4
1.2	3	3	1	39000	2.4	38000	2.4
1.2	3	3	2	51000	2.4	40000	2.4
1.2	3	3	3	40000	2.4	11078.572	1503.358
1.2	3	3	4	36000	2.4	22000	2.4
1.2	3	3	5	5000	2.4	4000	2.4
1.2	3	3	6	2.4	2.4	28000	2.4
1.2	4	3	1	22000	2.4	2.4	2.4
1.2	4	3	2	10503.369	917.196	2.4	2.4
1.2	4	3	3	2.4	2.4	9177.224	1207.644
1.2	4	3	4	12648.814	1330.159	2.4	2.4
1.2	4	3	5	45000	2.4	2.4	2.4
1.2	4	3	6	24000	2.4	2.4	2.4
1.3	3	3	1	54000	2.4	54000	2.4
1.3	3	3	2	65000	2.4	53000	2.4
1.3	3	3	3	54000	2.4	26000	2.4
1.3	3	3	4	50000	2.4	38000	2.4
1.3	3	3	5	9000	2.4	8000	2.4
1.3	3	3	6	2.4	2.4	44000	2.4
1.3	4	3	1	35000	2.4	2.4	2.4
1.3	4	3	2	21000	2.4	2.4	2.4
1.3	4	3	3	2.4	2.4	19657.993	1021.152
1.3	4	3	4	27000	2.4	2.4	2.4
1.3	4	3	5	60000	2.4	2.4	2.4
1.3	4	3	6	42000	2.4	2.4	2.4
