HV	Sector	Layer	Component	Left Mean	Left Sigma	Right Mean	Right Sigma
1.1	3	1	1	54000	2.4	57000	2.4
1.1	3	1	2	37000	2.4	41000	2.4
1.1	3	1	3	2.4	2.4	55000	2.4
1.1	3	1	4	40000	2.4	42000	2.4
1.1	3	1	5	2000	2.4	900	2.4
1.1	3	1	6	2.4	2.4	56000	2.4
1.1	4	1	1	64000	2.4	2.4	2.4
1.1	4	1	2	44000	2.4	2.4	2.4
1.1	4	1	3	53000	2.4	40000	2.4
1.1	4	1	4	1000	2.4	500	2.4
1.1	4	1	5	1000	2.4	1000	2.4
1.1	4	1	6	47000	2.4	44000	2.4
1.2	3	1	1	70000	2.4	64000	2.4
1.2	3	1	2	54000	2.4	58000	2.4
1.2	3	1	3	2.4	2.4	62000	2.4
1.2	3	1	4	56000	2.4	59000	2.4
1.2	3	1	5	3500	2.4	2500	2.4
1.2	3	1	6	2.4	2.4	64000	2.4
1.2	4	1	1	78000	2.4	2.4	2.4
1.2	4	1	2	61000	2.4	2.4	2.4
1.2	4	1	3	70000	2.4	58000	2.4
1.2	4	1	4	2000	2.4	3000	2.4
1.2	4	1	5	2000	2.4	2000	2.4
1.2	4	1	6	64000	2.4	60000	2.4
1.3	3	1	1	80000	2.4	80000	2.4
1.3	3	1	2	67000	2.4	72000	2.4
1.3	3	1	3	2.4	2.4	76000	2.4
1.3	3	1	4	70000	2.4	72000	2.4
1.3	3	1	5	7000	2.4	6000	2.4
1.3	3	1	6	2.4	2.4	80000	2.4
1.3	4	1	1	80000	2.4	2.4	2.4
1.3	4	1	2	74000	2.4	2.4	2.4
1.3	4	1	3	80000	2.4	72000	2.4
1.3	4	1	4	5000	2.4	6000	2.4
1.3	4	1	5	5000	2.4	4000	2.4
1.3	4	1	6	76000	2.4	72000	2.4
