HV	Sector	Layer	Component	Left Mean	Left Sigma	Right Mean	Right Sigma
1.1	3	2	1	3000	2.4	1500	2.4
1.1	3	2	2	45000	2.4	38000	2.4
1.1	3	2	3	1885.795	672.665	28000	2.4
1.1	3	2	4	4591.494	653.73	2892.211	431.596
1.1	3	2	5	20000	2.4	24000	2.4
1.1	3	2	6	2.4	2.4	30000	2.4
1.1	4	2	1	2000	2.4	2.4	2.4
1.1	4	2	2	24000	2.4	2.4	2.4
1.1	4	2	3	1478.316	250.389	1909.131	304.874
1.1	4	2	4	35000	2.4	32000	2.4
1.1	4	2	5	6000	2.4	8000	2.4
1.1	4	2	6	2000	2.4	2.4	2.4
1.2	3	2	1	6000	2.4	3500	2.4
1.2	3	2	2	62000	2.4	57000	2.4
1.2	3	2	3	5487.921	827.874	45000	2.4
1.2	3	2	4	10384.505	1181.476	6379.76	852.126
1.2	3	2	5	38000	2.4	46000	2.4
1.2	3	2	6	2.4	2.4	51000	2.4
1.2	4	2	1	4000	2.4	2.4	2.4
1.2	4	2	2	42000	2.4	2.4	2.4
1.2	4	2	3	2315.464	940.216	4138.216	622.957
1.2	4	2	4	52000	2.4	52000	2.4
1.2	4	2	5	13000	2.4	16000	2.4
1.2	4	2	6	40000	2.4	2.4	2.4
1.3	3	2	1	10756.504	1144.014	6181.285	848.69
1.3	3	2	2	76000	2.4	72000	2.4
1.3	3	2	3	11905.604	1532.398	60000	2.4
1.3	3	2	4	20307.84	864.549	13319.195	1444.116
1.3	3	2	5	52000	2.4	60000	2.4
1.3	3	2	6	2.4	2.4	66000	2.4
1.3	4	2	1	6680.357	895.67	2.4	2.4
1.3	4	2	2	56000	2.4	2.4	2.4
1.3	4	2	3	6160.435	1164.485	8250.734	1322.562
1.3	4	2	4	66000	2.4	66000	2.4
1.3	4	2	5	36000	2.4	32000	2.4
1.3	4	2	6	56000	2.4	2.4	2.4
